file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
chewyroots,.lang,tasks\lang\spanish\chewyroots.lang,Raíces masticables,"Siempre que necesito pensar, necesito masticar algo masticable. Supongo que ayuda a mi cerebro a procesar más rápido. En fin, se me acabó el regaliz y necesito más para poder pensar mejor.","[thinking]No es un problema grave, pero me vendría bien un poco de [green]regaliz[/green] para masticar mientras pienso. Las raíces duran mucho más si las masticas con cuidado.///[neutral]Tienen un sabor fuerte, pero eso nunca me disgustó. Si ves algunas, avísame, ¿de acuerdo?","[happy]¡Es un montón de [green]regaliz[/green]! Me mantendrá masticando y pensando por mucho tiempo. Muchas gracias, #player_name#."
cliniccomplications,.lang,tasks\lang\spanish\cliniccomplications.lang,Complicaciones en la clínica,"¡Oh! Nunca hay suficientes sellos de oro. Los gatos están lastimándose todo el tiempo y necesitamos algo para tratar sus heridas, ¡lo más pronto posible!","[sad]Oh, ¿qué puedo hacer? ¡Me estoy quedando sin [green]sello de oro[/green]!///[shocked]Deberé recurrir a tratamientos más... experimentales si no consigo [green]sellos de oro[/green] pronto. ¿Podrías ayudarme, #player_name#?","[happy]¡Por mi pico! ¿Acaso es [green]sello de oro[/green] lo que detecto? ¡Sí, mi nariz no miente!///[playful]Has sido de gran ayuda, #player_name#. Me quedaré con las hierbas."
crushedcoral,.lang,tasks\lang\spanish\crushedcoral.lang,Coral triturado,"Hay mucho coral en la playa, ¿verdad? Por favor, junta un poco para mí y tráemelo. Como ya ves, no quiero tomarme la molestia de ir a buscarlo.","[shocked]¡Sí, estoy buscando [green]coral[/green]! Pero no te daré explicaciones.///[neutral]Está bien, ya que insistes y no dejas de preguntar, te diré por qué lo necesito. ¡Pero no se lo cuentes a nadie!///[thinking]Trituro el [green]coral[/green] hasta convertirlo en polvo fino para hacer tintura roja. Luego uso esa tintura para darle a mi pelaje un tono más intenso.///[shocked]¡Ese es mi secreto! Ahora ve a buscar el coral antes de que el fabuloso color de mi pelo se destiña aún más.","[shocked]Ah, ¿conseguiste el [green]coral[/green] que te pedí? Déjame ver.///[thinking]Mmm. Son pedazos más pequeños de los que suelo usar, pero tendrán que servir. Los tomaré.///[neutral]Aquí está la recompensa por tus esfuerzos."
dangerforbreakfast,.lang,tasks\lang\spanish\dangerforbreakfast.lang,Nido de serpientes,"Escuché que algunas serpientes empezaron a anidar cerca del pueblo. ¿Alguien quiere enfrentarse a una? Será divertido, lo prometo.","[neutral]Oye, estás rastreando una [green]serpiente[/green], ¿verdad? Escuché que aceptaste mi tarea.///[playful]No será un problema para ti. Son criaturas combativas, pero no son rivales para los gatos.","[happy]¡Vaya, la [green]serpiente[/green] que atrapaste no es nada pequeña! Me hubiera gustado ver la pelea. Apuesto a que fue épica.///[neutral]Cuéntame los detalles más tarde, ¿de acuerdo?"
darklady,.lang,tasks\lang\spanish\darklady.lang,Dama oscura,"Hoy casi atrapé una mariquita negra, ¡pero se escabulló de mis garras! ¿No me ayudarían a encontrar otra?","[shocked]¡Estuve así de cerca de atrapar una [green]mariquita negra[/green]!///[sad]Ya la tenía en mi pata. No debo haber cerrado el puño con suficiente fuerza porque se escapó y salió volando.///[angry]Tengo un espacio listo para ella en mi colección de insectos, pero todavía está vacío. Si ves una [green]mariquita negra[/green], [i]por favor, por favor, por favor[/i], ¡tráemela!","[shocked]¡Guau! ¡Es incluso más grande que la que se me escapó! ¡Qué bicho tan genial!///[happy]Gracias, #player_name#. No debe ser fácil desprenderse de una [green]mariquita negra[/green] tan increíble. Eres lo máximo."
easyscouting,.lang,tasks\lang\spanish\easyscouting.lang,Expedición fácil,Necesitamos a alguien que explore varias regiones y nos informe de sus hallazgos.,"[neutral]Nunca se sabe qué encontraremos en la naturaleza, así que enviamos con regularidad grupos de exploración a investigar.///[neutral]Si ves algo sospechoso, asegúrate de anotarlo en tu informe.",[neutral]¿Ya regresaste de tu misión de reconocimiento? ¿Todo se veía normal? Bien.///[happy]Gracias por ofrecerte para la tarea. Podemos vivir con mayor tranquilidad cuando sabemos lo que sucede en el mundo que nos rodea.
energycrisis,.lang,tasks\lang\spanish\energycrisis.lang,Crisis energética,"¡Hola, gentiles colegas! Les suplico que recolecten un poco de valeriana para mí. ¡Me llena de energía para poder trabajar hasta altas horas de la noche!","[shocked]¡Oh, destino cruel! ¡Es una tragedia!///[sad]¿Cómo voy a trabajar hasta muy entrada la noche en experimentos científicos si no tengo la energía para hacerlo?///[angry]Normalmente dependo de la planta conocida como [green]valeriana[/green] para mantenerme en vela, pero parece que se me ha acabado.///[sad]Es una verdadera lástima. Si tan solo pudieras traerme un poco para reabastecer mis suministros...","[happy]¡Qué triunfo! Has encontrado las plantas energéticas que tanto anhelaba. Estas servirán perfectamente.///[playful]Tienes mi gratitud, #player_name#. ¡Ahora mis experimentos pueden continuar!"
experimentation,.lang,tasks\lang\spanish\experimentation.lang,Experimentación,Se busca: Un poco de sombricor para mi más reciente poción experimental. Efectos: ¡desconocidos!,"[playful]¡Sí, fui yo quien hizo el pedido de [green]sombricor[/green]!///[sad]Pero es muy difícil de conseguir. Ahí es donde entras tú, #player_name#.///[thinking]Se rumorea que, si derrotas a una sombra felina, podrás obtener una pequeña cantidad de [green]sombricor[/green]...","[playful]¡Por mi pico, qué cantidad maravillosa de [green]sombricor[/green]! Es precisamente lo que necesito para comenzar con mi experimento.///[happy]¡La ciencia te recordará por tus contribuciones, #player_name#!"
fuzzyfeeling,.lang,tasks\lang\spanish\fuzzyfeeling.lang,Polillas peludas,"¡Cielos, las polillas peludas sí que son difíciles de encontrar! Si tienes una de sobra, me encantaría que me la dieras, ¿sí?","[neutral]Necesito una [green]polilla peluda[/green]. ¿Por qué? Porque me gusta cómo se siente, por eso. Es suave y peludita, y me hace feliz, ¿sí?///[thinking]No quiero cualquier polilla. Solo la [green]polilla peluda[/green] tiene la suavidad que estoy buscando.///[neutral]Si vas a buscar una para mí, hazlo por la noche. Es cuando las polillas están más activas.","[shocked]¡Caramba, es una verdadera [green]polilla peluda[/green]! ¿Dónde la encontraste, #player_name#?///[playful]Supongo que no importa. Me alegro de que me la hayas traído. Gracias, cariño."
greenthumb,.lang,tasks\lang\spanish\greenthumb.lang,Patas verdes,"Creo que el mundo sería un mejor lugar si pasáramos más tiempo en la naturaleza, ¿no les parece? ¿Alguien quiere ayudarme a plantar hierbas y flores nuevas?","[happy]Me encantaría ver el jardín lleno de vida.///[playful]Te recompensaré con [green]fichas de tarea[/green] si plantas un par de hierbas o flores. Avísame cuando lo hayas hecho, ¿de acuerdo?","[happy]No hay nada como trabajar con tus patas para traer nuevos brotes al mundo. Hace bien al corazón.///[happy]Aquí está la recompensa que te prometí. Gracias por tomarte en serio mi petición, #player_name#."
greenwithenvy,.lang,tasks\lang\spanish\greenwithenvy.lang,Verde que te quiero verde,"Tengo muchas esmeraldas, pero necesito más. ¡Más, más, más! Nunca son suficientes.","[shocked]¿De verdad me estás preguntando qué voy a hacer con todas esas [green]esmeraldas[/green]? ¡No necesito dar explicaciones!///[playful]Solo diré que tengo planes. Grandes planes. Planes que no te involucran a ti, #player_name#...","[playful]¡Contempla la belleza de estas [green]esmeraldas[/green]! Mis preciosas...///[neutral]Bien hecho, #player_name#."
hardscouting,.lang,tasks\lang\spanish\hardscouting.lang,Expedición difícil,Necesitamos a alguien que explore varias regiones y nos informe de sus hallazgos.,"[neutral]Nunca se sabe qué encontraremos en la naturaleza, así que enviamos con regularidad grupos de exploración a investigar.///[neutral]Si ves algo sospechoso, asegúrate de anotarlo en tu informe.",[neutral]¿Ya regresaste de tu misión de reconocimiento? ¿Todo se veía normal? Bien.///[happy]Gracias por ofrecerte para la tarea. Podemos vivir con mayor tranquilidad cuando sabemos lo que sucede en el mundo que nos rodea.
honeyourhunting,.lang,tasks\lang\spanish\honeyourhunting.lang,Perfecciona tu caza,¡Necesitamos trabajar en nuestras habilidades de cacería! Ofrezco una recompensa a cualquiera que desee practicar la captura de presas. Pueden quedarse con lo que atrapen.,"[neutral]¿Viste mi anuncio? Sí, me temo que #colony_title_with_definite_article# se ha vuelto bastante conformista en cuanto a la caza.///[thinking]Siempre debemos prepararnos para una posible escasez de alimentos. La mejor manera de hacerlo es practicando la caza regularmente.///[playful]Es por eso que publiqué una recompensa en la pizarra. Te la daré si atrapas algunas presas. ¡Incluso dejaré que te quedes con ellas!","[playful]Te estuve observando mientras realizabas tus prácticas de caza. Te has vuelto muy hábil para atrapar presas, #player_name#. Bien hecho.///[neutral]Aquí tienes las [green]fichas de tarea[/green], como prometí. Gracias por interesarte en mejorar tus habilidades."
juicysweet,.lang,tasks\lang\spanish\juicysweet.lang,Dulce y jugosa,"Me pasé todo el día de ayer buscando frambuesas, pero no logré encontrarlas. ¿Alguna vez podré probar una? Quizás no...","[sad]¿Por qué cada vez que salgo a buscar [green]frambuesas[/green], lo único que encuentro son [green]sellos de oro[/green]?///[shocked]¡No quiero comer [green]sellos de oro[/green]! ¡Quiero comer [green]frambuesas[/green]!///[sad]No creo que mi suerte vaya a mejorar pronto, así que ¿podrías traerme algunas [green]frambuesas[/green]? De seguro las encuentras todo el tiempo...","[shocked]Oye, ¿por qué tus patas están todas rojas? ¿Tuviste una pelea? Ay, no...///[playful]¡Oh, espera! No tienes las patas rojas por eso. ¡Puedo oler las [green]frambuesas[/green]! Las conseguiste para mí, ¿verdad?///[happy]¡Se ven bien dulces y jugosas! Lamento no haberme encargado de buscarlas. En verdad aprecio que me hayas traído un par para comer."
keepdigging,.lang,tasks\lang\spanish\keepdigging.lang,Sigue cavando,¡Nuestros túneles siguen derrumbándose! Necesitamos a alguien con garras afiladas para que abra una nueva ruta hacia abajo. 24 niveles deberían ser suficientes.,"[neutral]Nuestras líneas de suministro están cortadas debido a todas esas rocas que cayeron. Necesitamos a alguien como tú que encuentre un nuevo camino hacia abajo.///[neutral]Si logras despejar 24 niveles, con gusto te daré algunas [green]fichas de tarea[/green]. ¿Qué opinas?","[neutral]Estupendo, ahora podemos llevar suministros a nuestros mineros otra vez. Parece que encontraste una buena ruta. Ojalá permanezca abierta por más tiempo.///[neutral]Aquí está la recompensa por tu arduo trabajo. Vale la pena ayudar a los topos, ¿eh?"
keepingup,.lang,tasks\lang\spanish\keepingup.lang,¡La necesito!,"¿Cómo viviré sin una luciérnaga verde que me haga compañía? ¡No, no puedo seguir! ¡Necesito una!","[sad]¡Oh, qué tragedia! Porque yo, #npc_name_glimmer#, me he enterado de algo que no poseo.///[angry]¡Mis colegas se reirán de mí cuando descubran que carezco de una [green]luciérnaga verde[/green]! ¡Qué horror! ¡Qué tristeza! ¡Qué envidia siento!///[sad]Te lo suplico, #player_name#, corrige este error y entrégame una [green]luciérnaga verde[/green] cuanto antes.",[happy]¡Problema resuelto! Ya tengo en mi poder una [green]luciérnaga verde[/green].///[playful]¡Ahora nadie se burlará de mí por lo que me falta!
luckcharm,.lang,tasks\lang\spanish\luckcharm.lang,Amuleto de la suerte,Necesito varios conejos. ¿Sabías que estas criaturas traen mucha suerte?,"[angry]Solo quiero atrapar un [green]conejo[/green], ¡pero esos tontos animalitos evaden cada uno de mis intentos!///[playful]Pueden burlarse de mí, pero no podrán burlarse de ti, #player_name#. Sus destinos ya están decididos.",[playful]¡Ajá! Estos me van a servir. Tu esfuerzo será recompensado.
mediumscouting,.lang,tasks\lang\spanish\mediumscouting.lang,Expedición media,Necesitamos a alguien que explore varias regiones y nos informe de sus hallazgos.,"[neutral]Nunca se sabe qué encontraremos en la naturaleza, así que enviamos con regularidad grupos de exploración a investigar.///[neutral]Si ves algo sospechoso, asegúrate de anotarlo en tu informe.",[neutral]¿Ya regresaste de tu misión de reconocimiento? ¿Todo se veía normal? Bien.///[happy]Gracias por ofrecerte para la tarea. Podemos vivir con mayor tranquilidad cuando sabemos lo que sucede en el mundo que nos rodea.
miceproblems,.lang,tasks\lang\spanish\miceproblems.lang,Desabastecimiento de ratones,A la tienda le vendrían bien más ratones para agregar al inventario. Me temo que nos quedaremos sin ratones si no los conseguimos pronto. ¡No puedo defraudar a la clientela!,"[shocked]¡No sé qué vamos a hacer si no conseguimos [green]ratones[/green] pronto! Acabo de revisar el almacén, y es bastante grave.///[thinking]¡Por favor, avísame si encuentras algunos! De lo contrario, no sé qué podré hacer.","[shocked]¡#player_name#, me has salvado! Estos [green]ratones[/green] son justo lo que necesitábamos para que la tienda siguiera abierta.///[happy]Nunca olvidaré tu amabilidad."
minnowsnack,.lang,tasks\lang\spanish\minnowsnack.lang,Piscolabis de piscardo,"No tengo mucha hambre, pero podría comer algo ligero. Algo como un piscardo. ¡Un bocado es todo lo que necesito para llenarme!","[shocked]Oh, no es para tanto. No necesito que #leader_title_with_article# lo pesque para mí. ¡A menos que tú quieras!///[neutral]Es solo que tengo ganas de comer un [green]piscardo[/green], ¿sabes? ¿No suena delicioso?","[happy]¡Perfecto! Es del tamaño adecuado y todo. Será una excelente merienda.///[shocked]Estuve a punto de atrapar un [green]piscardo[/green] para mí antes de que llegaras, pero escapó.///[happy]¡De todos modos, gracias por tu ayuda, #player_name#! Se ve muy sabroso."
mousemorsel,.lang,tasks\lang\spanish\mousemorsel.lang,Tener ratón para rato,Me gustaría cenar unos ratones. ¿Quién tiene algunos que le sobren?,"[neutral]Tengo hambre de [green]ratones[/green], preferiblemente frescos. Pero aceptaré lo que sea.///[thinking]¿Acaso tienes algunos guardados, #player_name#?","[happy]¡Estos no decepcionan! Se ven bastante gordos y frescos. Buena caza, #player_name#.///[neutral]Si me disculpas, tengo unos [green]ratones[/green] que devorar. Gracias a ti, por supuesto."
naturesbounty,.lang,tasks\lang\spanish\naturesbounty.lang,Madre Naturaleza,"Hay una abundancia de hierbas en la naturaleza, pero son mucho más útiles si las buscas y recolectas. Puedes quedarte con lo que encuentres.","[neutral]Sé que es una petición extraña, pero necesitamos que alguien vaya y busque hierbas en la naturaleza.///[thinking]Después de todo, no podemos hacer uso de ellas si no sabemos dónde están.///[neutral]Una vez que las haya encontrado, puede quedárselas. Es necesario tener más hierbas en circulación.","[neutral]Por las manchas en tus patas, veo que encontraste muchas hierbas. Buen trabajo, #player_name#.///[thinking]Tú decides qué hacer con ellas. Véndelas, úsalas o regálalas. ¡A mí me da lo mismo!"
nightharvest,.lang,tasks\lang\spanish\nightharvest.lang,Recolección nocturna,¿Has oído hablar de la reina de la noche? Es una flor rara que solo se abre al anochecer. Me gustaría tener una para mi guarida.,"[shocked]¡La única [green]reina de la noche[/green] que tenía se marchitó! Ahora mi mesa se ve vacía y triste. ¿Qué puede hacer?///[neutral]No puedo deambular por los prados cuando está oscuro. Necesito tu ayuda para encontrar otra [green]reina de la noche[/green] para mi mesa.///[happy]Agradecería mucho tu ayuda.///[neutral]Estas flores solo se abren de noche, así que búscalas al anochecer para tener más éxito.","[happy]¡Oh, qué flor tan gloriosa! Sus pétalos me recuerdan a una tarde de invierno. Es algo hermoso de ver, ¿no te parece?///[playful]Muchas gracias por tu ayuda, #player_name#. Si no fuera por ti, no tendría una [green]reina de la noche[/green] para alegrar mis mañanas y hacerme sonreír."
ofafeather,.lang,tasks\lang\spanish\ofafeather.lang,Del Mismo Plumaje,Busco un pájaro con motas parecidas a las mías. ¡Encuéntramelo ahora mismo!,"[neutral]Algunas aves tienen hermosas motas similares a las mías. Estas aves parecen ser bastante raras. Bastante raro, por cierto.///[thinking]Encuéntrame uno y serás enormemente recompensado.",[happy]Has hecho bien en encontrar esta ave excepcional. He hecho bien en encontrar estas [green]fichas de tarea[/green] excepcionales para tú.
ohrats,.lang,tasks\lang\spanish\ohrats.lang,Control de plagas,"¿Alguna vez te mordió una rata? Créeme, no es una experiencia agradable. Cuantas menos ratas haya, más feliz estaré.","[neutral]Hace muchos años, una vez me mordió una rata enorme. Nunca olvidaré cómo se sintió. No hay que subestimar esos colmillos.///[neutral]Yo digo que reduzcamos la población de ratas. Así mis topos estarán más seguros.///[neutral]Es más común encontrarlas en las minas venenosas. ¿Quién lo diría?","[neutral]Escuché que cazaste algunas ratas. A ver, entrégamelas. No hay necesidad de ponerse sentimental.///[neutral]Y aquí está tu paga por un día duro de trabajo."
peaceoffering,.lang,tasks\lang\spanish\peaceoffering.lang,Ofrenda de paz,"Estoy intentando entablar amistad con todos mis vecinos, y creo que tener palomas blancas para ofrecer como regalo me ayudaría mucho. ¿Hay alguien que esté disponible para cazar algunas por mí?","[neutral]Tengo entendido que la [green]paloma blanca[/green] es un regalo tradicional en muchas culturas. Me gustaría mostrarme amable con mis vecinos ofreciéndoles una [green]paloma blanca[/green].///[neutral]Pero no puedo dejar el jardín sin supervisión, así que te pido ayuda. ¿Podrías conseguirme unas [green]palomas blancas[/green], #player_name#?","[happy]Ah, estas son perfectas. Serán un estupendo regalo cuando las combine con hierbas frescas de mis provisiones.///[playful]Te agradezco por tu generoso servicio, #player_name#. No olvidaré tu gentileza."
peskysquirrels,.lang,tasks\lang\spanish\peskysquirrels.lang,Ardillas traviesas,¡Esas malditas ardillas no dejan de trepar por mi guarida y destrozar el techo! Alguien tiene que poner fin a sus hurtos.,[shocked]Apenas dormí anoche porque esas malditas [green]Ardillas[/green] no me dejaron descansar. ¡Hacen mucho ruido cuando corren por el techo!///[thinking]Creo que están robando las ramas para construir sus propios nidos. Tengo que revisar constantemente el techo y reparar los agujeros que dejan.///[angry]Agradecería mucho que alguien pusiera fin a sus fechorías.,"[playful]¡Sí, esas son las problemáticas [green]ardillas[/green]! Parece que atrapaste a todas. No las he vuelto a escuchar en el techo, así que creo que es suficiente por ahora.///[happy]Gracias por tu ayuda, #player_name#."
pickmeup,.lang,tasks\lang\spanish\pickmeup.lang,Energizante,"Odio molestar, pero el otro día se me acabó la valeriana. ¿Alguien quiere cosechar un poco para mí? Probablemente no...","[sad]Oh, es terrible. Me he quedado sin [green]valeriana[/green]. En días como este me vendría bien un poco más de energía, pero no me queda nada.///[sad]Quizás sea una señal de que debería volver a la cama...","[shocked]¡Vaya! ¿En verdad fuiste a recolectar esto... para mí? No sé qué decir...///[playful]Es muy amable de tu parte, #player_name#. Pensé que nadie vería la solicitud que publiqué. Gracias."
pinchers,.lang,tasks\lang\spanish\pinchers.lang,Pinzas,No puedo ir a la playa porque esos amenazadores cangrejos me atacan. ¿Alguien quiere reducir su número?,"[angry]Estaba en la playa tratando de pescar, cuando de repente un [green]cangrejo[/green] enojado comenzó a perseguirme.///[sad]¿Alguna vez te ha pellizcado un [green]cangrejo[/green]? No te lo recomiendo.",[neutral]¿Acabaste con esos horribles [green]cangrejos[/green]? Perfecto. Ahora puedo volver a la playa y no tener que preocuparme tanto.
powerfulplants,.lang,tasks\lang\spanish\powerfulplants.lang,Plantas diabólicas,"Oigan, ¿tienen lenguas del diablo que les sobren? Necesito conseguir un par antes de mi próxima aventura. Planeo enfrentarme a las sombras felinas.",[thinking][green]Lengua del diablo[/green]. Es una planta con un extraño apéndice que sale de la flor. ¿Crees que puedas encontrarla?///[neutral]Ten cuidado al tocarla. Es venenosa.,[happy]¡Eso era lo que buscaba! Genial. Las sombras felinas no saben lo que les espera.///[neutral]Me aseguraré de darles un buen uso a estas [green]lenguas del diablo[/green]. No te preocupes.
prettyandpainful,.lang,tasks\lang\spanish\prettyandpainful.lang,Bonita pero peligrosa,"No puedo pelear con todo mi potencial si no tengo dedaleras para aplicar en mis garras. Sé que suena raro, pero ¿alguien podría conseguirme un poco?","[neutral]¡Se supone que debería estar en el frente de batalla, luchando junto a los mejores y más fuertes soldados! Pero me he quedado sin [green]dedaleras[/green].///[thinking]Necesito un poco más antes de entrar en combate. ¿Tienes algunas por ahí, #player_name#?","[happy]Sabía que lo lograrías, #player_name#. Es justo lo que necesitaba para regresar al campo de batalla.///[playful]¡Más les vale a esas sombras felinas que se cuiden, ahora que #npc_name_champ# ha vuelto a la lucha!"
quartzdecor,.lang,tasks\lang\spanish\quartzdecor.lang,Adornos de cuarzo,"En preparación del próximo festival, necesito más cuarzo para hacer algunas de las decoraciones. No tengo tiempo de ir a extraerlo en las minas. ¿Alguien se ofrece?","[shocked]Estoy en un aprieto. Necesito más [green]cuarzo[/green] para hacer la decoración del próximo festival, pero mi agenda está demasiado llena como para ir a buscarlo.///[neutral]¿Hay alguna posibilidad de que puedas ir a las cuevas y extraer un poco para mí? Sería de gran ayuda.","[happy]¡Ahí está el [green]cuarzo[/green] que necesito! Y justo a tiempo, también.///[neutral]Una vez más, has salvado el día, #player_name#. Estoy en deuda contigo."
