file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
autumn1recorditem,.lang,items\lang\spanish\autumn1recorditem.lang,Autumn 1 Record,Otoño 1,el,un,este,Un disco de música que puedes reproducir en el tocadiscos de tu guarida. Esta pista es una reconfortante melodía otoñal.
autumn2recorditem,.lang,items\lang\spanish\autumn2recorditem.lang,Autumn 2 Record,Otoño 2,el,un,este,Un disco de música que puedes reproducir en el tocadiscos de tu guarida. Esta pista es una despreocupada melodía otoñal.
autumn3recorditem,.lang,items\lang\spanish\autumn3recorditem.lang,Autumn 3 Record,Otoño 3,el,un,este,Un disco de música que puedes reproducir en el tocadiscos de tu guarida. Esta pista es una fresca melodía otoñal.
autumnfestivalrecorditem,.lang,items\lang\spanish\autumnfestivalrecorditem.lang,Autumn Festival Record,Festival de otoño,el,un,este,Un disco de música que puedes reproducir en el tocadiscos de tu guarida. Esta pista es una melodía festiva de otoño.
bandeddarteritem,.lang,items\lang\spanish\bandeddarteritem.lang,Banded Darter,Libélula rayada,la,una,esta,Una grácil libélula de color rubí. Recibe su nombre por las franjas oscuras en sus alas.
barbelitem,.lang,items\lang\spanish\barbelitem.lang,Barbel,Barbo,el,un,este,Un pez de agua dulce de color claro con bigotes similares a los de un gato. ¡Una comida que hace agua la boca!
barkbeetleitem,.lang,items\lang\spanish\barkbeetleitem.lang,Bark Beetle,Escarabajo de corteza,el,un,este,Un escarabajo grande con élitros rojizos y opacos.
barrelfurnitureitem,.lang,items\lang\spanish\barrelfurnitureitem.lang,Barrel Furniture,Barril,el,un,este,Un barril redondo remachado con una tapa de madera.
bassitem,.lang,items\lang\spanish\bassitem.lang,Bass,Perca,la,una,esta,Un pez de agua dulce de color verde oscuro con una boca ancha.
batitem,.lang,items\lang\spanish\batitem.lang,Bat,Murciélago,el,un,este,Un singular mamífero volador con grandes alas membranosas.
battlepotionitem,.lang,items\lang\spanish\battlepotionitem.lang,Battle Potion,Poción de batalla,la,una,esta,"Una infusión burbujeante con un fuerte olor que llena de ira a los gatos, aumentando enormemente su habilidad de combate por un corto período de tiempo."
battlepotionrecipeitem,.lang,items\lang\spanish\battlepotionrecipeitem.lang,Battle Potion Recipe,Receta de poción de batalla,la,una,esta,"Una infusión burbujeante con un fuerte olor que llena de ira a los gatos, aumentando enormemente su habilidad de combate por un corto período de tiempo."
beakyaccessoryitem,.lang,items\lang\spanish\beakyaccessoryitem.lang,Beaky Accessory,Máscara de pico,la,una,esta,"Una máscara extraña hecha de un material desgastado, con una nariz delgada en forma de pico. Algunos creen que puede proteger de miasmas nocivos."
beeitem,.lang,items\lang\spanish\beeitem.lang,Bee,Abeja,la,una,esta,¡Este pequeño insecto es más fuerte de lo que parece! Cuidado con el aguijón venenoso.
bellaccessoryitem,.lang,items\lang\spanish\bellaccessoryitem.lang,Bell Accessory,Campana,la,una,esta,Una campana dorada que cuelga de una cadena fina.
bendycurioitem,.lang,items\lang\spanish\bendycurioitem.lang,Bendy Curio,Curiosidad flexible,la,una,esta,"Un tubo de plástico hueco y liviano, doblado en un extremo."
birdcagefurnitureitem,.lang,items\lang\spanish\birdcagefurnitureitem.lang,Bird Cage Furniture,Pajarera,la,una,esta,"Una pajarera alta de latón con un pie, en la que vive una alegre urraca."
bismuthitem,.lang,items\lang\spanish\bismuthitem.lang,Bismuth,Bismuto,el,un,este,Una piedra particular con muchos cortes angulosos y un tono multicolor.
blackberriesfairitem,.lang,items\lang\spanish\blackberriesfairitem.lang,Blackberries [Fair],Zarzamoras,las,unas,estas,Bayas oscuras que pueden complacer hasta los paladares más exigentes.
blackberriesgooditem,.lang,items\lang\spanish\blackberriesgooditem.lang,Blackberries [Good],Zarzamoras,las,unas,estas,Bayas oscuras que pueden satisfacer hasta los paladares más exigentes.
blackberriespooritem,.lang,items\lang\spanish\blackberriespooritem.lang,Blackberries [Poor],Zarzamoras,las,unas,Estas moscas nauseabundas emiten un fuego pálido y frío. Se encuentran en las minas.,Bayas oscuras que pueden contentar hasta los paladares más exigentes.
blackberriesseedsitem,.lang,items\lang\spanish\blackberriesseedsitem.lang,Blackberries Seeds,Semillas de zarzamora,las,unas,estas,"Semillas moradas, obtenidas de una zarzamora. ¡Siémbralas en el jardín y mira cómo crecen!"
blackberriesseedsrecipeitem,.lang,items\lang\spanish\blackberriesseedsrecipeitem.lang,Blackberries Seeds Recipe,Receta de semillas de zarzamora,la,una,esta,¡Cultiva zarzamoras en tu jardín con estas semillas! Tendrás el bocadillo perfecto.
blackcavecricketitem,.lang,items\lang\spanish\blackcavecricketitem.lang,Black Cave Cricket,Grillo de cueva negro,el,un,este,"Un insecto extraño que es ciego. ¡No necesita de la vista, ya que vive bajo tierra!"
blackcrystallampfurnitureitem,.lang,items\lang\spanish\blackcrystallampfurnitureitem.lang,Black Crystal Lamp Furniture,Lámpara de cristal negro,la,una,esta,"Una lámpara peculiar hecha con ladrillos de barro, adornada con cristales negros cuyo interior brilla tenuemente."
blackfireflyitem,.lang,items\lang\spanish\blackfireflyitem.lang,Black Firefly,Luciérnaga negra,la,una,esta,Un curioso insecto de verano que absorbe la luz a su alrededor. Algunos creen que su presencia es un mal presagio.
blackladybugitem,.lang,items\lang\spanish\blackladybugitem.lang,Black Ladybug,Mariquita negra,la,una,esta,Un raro bichito con lunares grises.
blackroseitem,.lang,items\lang\spanish\blackroseitem.lang,Black Rose,Rosa negra,la,una,esta,Una fea flor marchita que a nadie le gusta ver. Dásela a un gato con el que quieras terminar la relación.
blueberriesfairitem,.lang,items\lang\spanish\blueberriesfairitem.lang,Blueberries [Fair],Arándanos,los,unos,estos,Un bonito racimo de bayas pequeñas con un tallo verde brillante.
blueberriesgooditem,.lang,items\lang\spanish\blueberriesgooditem.lang,Blueberries [Good],Arándanos,los,unos,estos,Un racimo de bayas cerúleas con un tallo verde brillante.
blueberriespooritem,.lang,items\lang\spanish\blueberriespooritem.lang,Blueberries [Poor],Arándanos,los,unos,estos,Un colorido racimo de bayas pequeñas con un tallo verde brillante.
blueberriesseedsitem,.lang,items\lang\spanish\blueberriesseedsitem.lang,Blueberries Seeds,Semillas de arándano,las,unas,estas,"Semillas de color marrón claro, obtenidas de un arándano. ¡Siémbralas en el jardín y mira cómo crecen!"
blueberriesseedsrecipeitem,.lang,items\lang\spanish\blueberriesseedsrecipeitem.lang,Blueberries Seeds Recipe,Receta de semillas de arándano,la,una,esta,¡Cultiva arándanos en tu jardín con estas semillas! Los arándanos son una golosina deliciosa.
bluejayitem,.lang,items\lang\spanish\bluejayitem.lang,Bluejay,Arrendajo azul,el,un,este,Un legendario pájaro color zafiro. ¡Se ve delicioso!
blueladybugitem,.lang,items\lang\spanish\blueladybugitem.lang,Blue Ladybug,Mariquita azul,la,una,esta,"Un impresionante bichito azul con lunares negros. Muchos gatos creen que es una criatura mítica, ¡pero tú lograste encontrar una!"
bouldergemsfurnitureitem,.lang,items\lang\spanish\bouldergemsfurnitureitem.lang,Boulder Gems Furniture,Roca (gemas),la,una,esta,Una enorme roca con cristales sobresaliendo de su superficie. ¿Qué gemas habrá en su interior?
boulderplainfurnitureitem,.lang,items\lang\spanish\boulderplainfurnitureitem.lang,Boulder Plain Furniture,Roca (simple),la,una,esta,Una enorme roca extraída de una cueva oscura.
bouncycurioitem,.lang,items\lang\spanish\bouncycurioitem.lang,Bouncy Curio,Curiosidad saltarina,la,una,esta,¡Suéltala y observa cómo rebota en el suelo!
bowaccessoryitem,.lang,items\lang\spanish\bowaccessoryitem.lang,Bow Accessory,Moño,el,un,este,Un bonito moño rosa para lucir sobre tu cabeza.
bowtieaccessoryitem,.lang,items\lang\spanish\bowtieaccessoryitem.lang,Bowtie Accessory,Corbata de moño,la,una,esta,Un moño negro formal para usar alrededor del cuello.
brightinsigniaitem,.lang,items\lang\spanish\brightinsigniaitem.lang,Bright Insignia,Insignia de autoridad,la,una,esta,Un símbolo de gran autoridad. Obtienes al instante un 100 % de influencia en tu región actual. De un solo uso.
brightinsigniarecipeitem,.lang,items\lang\spanish\brightinsigniarecipeitem.lang,Bright Insignia Recipe,Receta de insignia de autoridad,la,una,esta,Desbloquea una nueva receta. Estos símbolos de autoridad pueden utilizarse para obtener al instante un 100 % de influencia en una región. De un solo uso.
brightstoneitem,.lang,items\lang\spanish\brightstoneitem.lang,Brightstone,Gemaravilla,la,una,esta,¡Una gemaravilla auténtica! Muchos geólogos creen que esta piedra preciosa es mítica. ¡Es el mineral más raro de todos!
bronzestructurefurnitureitem,.lang,items\lang\spanish\bronzestructurefurnitureitem.lang,Bronze Structure Furniture,Estructura de Bronce,la,una,esta,"Una pieza decorativa diminuta pero pesada, hecha de un único alambre de bronce doblado de forma caótica."
browncavecricketitem,.lang,items\lang\spanish\browncavecricketitem.lang,Brown Cave Cricket,Grillo de cueva marrón,el,un,este,Un insecto de ojos saltones y un cuerpo arqueado. Le gusta esconderse en lugares oscuros.
brownhawkeritem,.lang,items\lang\spanish\brownhawkeritem.lang,Brown Hawker,Libélula marrón,la,una,esta,Una libélula alargada de color marrón con tenues rayas amarillas.
bubblewanditem,.lang,items\lang\spanish\bubblewanditem.lang,Bubble Wand,Varita de burbujas,la,una,esta,Usa este divertido juguete para soplar muchas burbujas de jabón. De un solo uso.
butterflywingsaccessoryitem,.lang,items\lang\spanish\butterflywingsaccessoryitem.lang,Butterfly Wings Accessory,Alas de mariposa,las,unas,estas,Algún gato dedicó mucho tiempo en esta réplica de alas de mariposa para que las luzcas con orgullo en tu espalda.
campfirefurnitureitem,.lang,items\lang\spanish\campfirefurnitureitem.lang,Campfire Furniture,Fogata,la,una,esta,Una ardiente pila de troncos encendidos. ¡Cálida y acogedora!
captainhataccessoryitem,.lang,items\lang\spanish\captainhataccessoryitem.lang,Captain Hat Accessory,Sombrero de capitán,el,un,este,Este formidable sombrero alguna vez perteneció al pirata más peligroso de los siete mares.
cardboardcurioitem,.lang,items\lang\spanish\cardboardcurioitem.lang,Cardboard Curio,Curiosidad de cartón,la,una,esta,¡Rueda con facilidad cuando la empujas!
cardinalitem,.lang,items\lang\spanish\cardinalitem.lang,Cardinal,Cardenal,el,un,este,"Un ave escarlata legendaria con un hermoso plumaje vívido, incluso cuando está muerta."
carpitem,.lang,items\lang\spanish\carpitem.lang,Carp,Carpa,la,una,esta,Un pez de agua dulce de color pardo con una aleta dorsal prominente.
carvedpumpkinfurnitureitem,.lang,items\lang\spanish\carvedpumpkinfurnitureitem.lang,Carved Pumpkin Furniture,Calabaza tallada,la,una,esta,"Una calabaza ahuecada, a la que se le talló una sonrisa malévola. Hay una vela encendida en su interior."
catnipfairitem,.lang,items\lang\spanish\catnipfairitem.lang,Catnip [Fair],Hierba gatera,la,una,esta,Una planta dulce con un olor delicioso. Apreciada y valorada por casi todos los gatos.
catnipgooditem,.lang,items\lang\spanish\catnipgooditem.lang,Catnip [Good],Hierba gatera,la,una,esta,Una planta dulce con un olor irresistible. Apreciada y valorada por casi todos los gatos.
catnippooritem,.lang,items\lang\spanish\catnippooritem.lang,Catnip [Poor],Hierba gatera,la,una,esta,Una planta dulce con un olor tentador. Apreciada y valorada por casi todos los gatos.
catnipseedsitem,.lang,items\lang\spanish\catnipseedsitem.lang,Catnip Seeds,Semillas de hierba gatera,las,unas,estas,"Un puñado de semillitas negras, obtenidas de una planta de hierba gatera. ¡Siémbralas en el jardín y mira cómo crecen!"
catnipseedsrecipeitem,.lang,items\lang\spanish\catnipseedsrecipeitem.lang,Catnip Seeds Recipe,Receta de semillas de hierba gatera,la,una,esta,¡Cultiva hierba gatera en tu jardín con estas semillas! Es muy valiosa y apreciada por casi todos los gatos.
catplushfurnitureitem,.lang,items\lang\spanish\catplushfurnitureitem.lang,Cat Plush Furniture,Gato de peluche,el,un,este,"Un pequeño juguete en forma de gato, relleno y de tela muy suave."
celestiallampfurnitureitem,.lang,items\lang\spanish\celestiallampfurnitureitem.lang,Celestial Lamp Furniture,Lámpara celestial,la,una,esta,"Una lámpara alta de otro mundo. Una luz emana del orbe amarillo en la parte superior, pero no se sabe cómo lo hace."
ceremonialcrownaccessoryitem,.lang,items\lang\spanish\ceremonialcrownaccessoryitem.lang,Ceremonial Crown Accessory,Corona ceremonial,la,una,esta,La típica corona que se usaría durante una coronación. ¿Cómo terminó aquí?
certificatefurnitureitem,.lang,items\lang\spanish\certificatefurnitureitem.lang,Certificate Furniture,Certificado,el,un,este,Un certificado de excelencia para colgar en la pared. Solo se otorga a los gatos más destacados.
championsauraaccessoryitem,.lang,items\lang\spanish\championsauraaccessoryitem.lang,Champions Aura Accessory,Aura de Adalid,el,un,este,¡Brilla con la luz interna de un poderoso ser celestial!
chromaticbatitem,.lang,items\lang\spanish\chromaticbatitem.lang,Chromatic Bat,Murciélago Cromático,el,un,este,Una peculiar criatura voladora que brilla con todos los colores del arcoíris. Impredecible en una pelea.
clickycurioitem,.lang,items\lang\spanish\clickycurioitem.lang,Clicky Curio,Curiosidad cliqueadora,la,una,esta,Un extraño dispositivo electrónico.
collaraccessoryitem,.lang,items\lang\spanish\collaraccessoryitem.lang,Collar Accessory,Collar,el,un,este,Un lindo collar rojo que un humano compró para su mascota.
colorfulgravelfurnitureitem,.lang,items\lang\spanish\colorfulgravelfurnitureitem.lang,Colorful Gravel Furniture,Grava colorida,la,una,esta,Una capa de diminutas piedras multicolores que parecen pertenecer a un acuario.
concavecurioitem,.lang,items\lang\spanish\concavecurioitem.lang,Concave Curio,Curiosidad cóncava,la,una,esta,Un misterioso utensilio hecho de metal reflectante.
conchitem,.lang,items\lang\spanish\conchitem.lang,Conch,Caracola,la,una,esta,Una concha muy preciada de color blanco perla. ¡Apóyala en tu oreja para oír el mar! Puedes donar este objeto a tu reserva de arena.
confettibagitem,.lang,items\lang\spanish\confettibagitem.lang,Confetti Bag,Bolsa de confeti,la,una,esta,Este divertido artículo hará que caiga confeti del cielo durante todo el día. De un solo uso.
coprinusitem,.lang,items\lang\spanish\coprinusitem.lang,Coprinus,Seta de tinta,la,una,esta,Un hongo de tallo alargado y propiedades curativas. Cura el veneno.
coralitem,.lang,items\lang\spanish\coralitem.lang,Coral,Coral,el,un,este,"Una rama de coral carmín, recientemente arrastrada a la orilla por la marea."
corkblockfurnitureitem,.lang,items\lang\spanish\corkblockfurnitureitem.lang,Cork Block Furniture,Bloque de corcho,el,un,este,Un bloque rectangular hecho de corcho macizo con bordes redondeados.
corkcurioitem,.lang,items\lang\spanish\corkcurioitem.lang,Cork Curio,Curiosidad de corcho,la,una,esta,Un cilindro hecho de corcho compacto.
crabitem,.lang,items\lang\spanish\crabitem.lang,Crab,Cangrejo,el,un,este,Un crustáceo rojo con varias patas. ¡Cuidado con las pinzas!
creditsrecorditem,.lang,items\lang\spanish\creditsrecorditem.lang,Credits Record,Créditos,los,unos,estos,Un disco de música que puedes reproducir en el tocadiscos de tu guarida. Esta pista es una melodía nostálgica.
crinklycurioitem,.lang,items\lang\spanish\crinklycurioitem.lang,Crinkly Curio,Curiosidad arrugada,la,una,esta,Una envoltura arrugada de algún objeto olvidado hace mucho tiempo.
crowitem,.lang,items\lang\spanish\crowitem.lang,Crow,Cuervo,el,un,este,Un astuto pájaro negro. Solo los cazadores más habilidosos pueden atraparlo.
curiocompactorrecipeitem,.lang,items\lang\spanish\curiocompactorrecipeitem.lang,Curio Compactor Recipe,Receta de compactador de curiosidades,la,una,esta,Transforma tus curiosidades no deseadas en objetos útiles con esta receta.
cutstonetilefurnitureitem,.lang,items\lang\spanish\cutstonetilefurnitureitem.lang,Cut Stone Tile Furniture,Baldosa de piedra cortada,la,una,esta,"Piedras pesadas, cortadas en cuadrados y rectángulos, y colocadas siguiendo un patrón."
daisyitem,.lang,items\lang\spanish\daisyitem.lang,Daisy,Margarita,la,una,esta,Una bonita flor con un centro de color amarillo intenso. Es tóxica para los gatos. ¡Ten cuidado al tocarla!
daisyseedsitem,.lang,items\lang\spanish\daisyseedsitem.lang,Daisy Seeds,Semillas de margarita,las,unas,estas,"Semillas de color amarillo, obtenidas de una margarita. ¡Siémbralas en el jardín y mira cómo crecen!"
daisyseedsrecipeitem,.lang,items\lang\spanish\daisyseedsrecipeitem.lang,Daisy Seeds Recipe,Receta de semillas de margarita,la,una,esta,"Cultiva margaritas en tu jardín con estas semillas. Aunque son bonitas, estas flores son tóxicas para los gatos y no deben consumirse."
dancefloorfurnitureitem,.lang,items\lang\spanish\dancefloorfurnitureitem.lang,Dance Floor Furniture,Pista de baile,la,una,esta,Un deslumbrante conjunto de luces coloridas dispuestas en cuadrícula. Emite un resplandor eléctrico a medida que el patrón de colores cambia.
darkcandleitem,.lang,items\lang\spanish\darkcandleitem.lang,Darkcandle,Moscandela,la,una,esta,Estas moscas nauseabundas emiten un fuego pálido y frío. Se encuentran en las minas.
darkruinsrecorditem,.lang,items\lang\spanish\darkruinsrecorditem.lang,Dark Ruins Record,Ruinas Oscuras,las,unas,estas,Un disco de música que puedes reproducir en el tocadiscos de tu guarida. Esta pista es una melodía contemplativa que evoca los lugares más oscuros.
diamonditem,.lang,items\lang\spanish\diamonditem.lang,Diamond,Diamante,el,un,este,Una fascinante gema cristalina muy valiosa. Puedes donar este objeto a tu reserva de tesoros.
doveitem,.lang,items\lang\spanish\doveitem.lang,Dove,Paloma blanca,la,una,esta,"Tradicionalmente, la paloma blanca simboliza la paz. Esta no tuvo éxito."
dragonwingsaccessoryitem,.lang,items\lang\spanish\dragonwingsaccessoryitem.lang,Dragon Wings Accessory,Alas de dragón,las,unas,estas,¡Vuestra merced lucirá gallarda con este formidable atavío!
driedrootsitem,.lang,items\lang\spanish\driedrootsitem.lang,Dried Roots,Raíces secas,las,unas,estas,"Varias raíces gruesas, secadas hasta endurecerlas. Puedes donar este objeto a tu reserva de madera."
driedrootsrecipeitem,.lang,items\lang\spanish\driedrootsrecipeitem.lang,Dried Roots Recipe,Receta de raíces secas,la,una,esta,"Varias raíces gruesas, secadas hasta endurecerlas. Puedes donar este objeto a tu reserva de madera."
dryingplantsbundleitem,.lang,items\lang\spanish\dryingplantsbundleitem.lang,Drying Plants Bundle,Conjunto de hierbas secas,el,un,este,"Hierbas puestas a secar, listas para decorar las paredes de tu guarida."
dynamiteitem,.lang,items\lang\spanish\dynamiteitem.lang,Dynamite,Dinamita,la,una,esta,"En las minas, usa este objeto para destruir al instante todas las rocas cercanas. ¡BUM!"
dynamiterecipeitem,.lang,items\lang\spanish\dynamiterecipeitem.lang,Dynamite Recipe,Receta de dinamita,la,una,esta,Desbloquea una nueva receta para con el yunque en la Fragua del Topo. La dinamita se utiliza en las minas para destruir al instante todas las rocas cercanas. ¡BUM!
elixirofhealingitem,.lang,items\lang\spanish\elixirofhealingitem.lang,Elixir of Healing,Elixir de curación,el,un,este,"Un eficaz tónico curativo hecho de hierbas potentes. Al consumirlo, cura una gran cantidad de salud y elimina el veneno."
elixirofhealingrecipeitem,.lang,items\lang\spanish\elixirofhealingrecipeitem.lang,Elixir of Healing Recipe,Receta de elixir de curación,la,una,esta,Mezcla hierbas medicinales para crear un tónico potente capaz de curar una enorme cantidad de salud y eliminar el veneno.
emeralditem,.lang,items\lang\spanish\emeralditem.lang,Emerald,Esmeralda,la,una,esta,Una magnífica gema verde.
emptyitem,.lang,items\lang\spanish\emptyitem.lang,Empty,Vacío,,,,Sin descripción.
erminemothitem,.lang,items\lang\spanish\erminemothitem.lang,Ermine Moth,Polilla lanuda,la,una,esta,Un insecto volador lanudo con pintitas negras.
eyepatchaccessoryitem,.lang,items\lang\spanish\eyepatchaccessoryitem.lang,Eyepatch Accessory,Parche de ojo,el,un,este,Un parche de cuero oscuro para cubrir un ojo. ¡Arrr!
facescaraccessoryitem,.lang,items\lang\spanish\facescaraccessoryitem.lang,Face Scar Accessory,Cicatriz en la cara,la,una,esta,Una vieja cicatriz que nunca se curó del todo.
fancyrugfurnitureitem,.lang,items\lang\spanish\fancyrugfurnitureitem.lang,Fancy Rug Furniture,Alfombra lujosa,la,una,esta,"Una alfombra rectangular grande, tejida con hilos rojos y naranjas."
farsightedorbitem,.lang,items\lang\spanish\farsightedorbitem.lang,Farsighted Orb,Orbe de visión,el,un,este,"En las minas, estas esferas señalan por un corto período de tiempo las escaleras más cercanas, incluso si están ocultas. De un solo uso."
farsightedorbrecipeitem,.lang,items\lang\spanish\farsightedorbrecipeitem.lang,Farsighted Orb Recipe,Receta de orbe de visión,la,una,esta,"Desbloquea una nueva receta. En las minas, estas esferas señalan por un corto período de tiempo las escaleras más cercanas, incluso si están ocultas. De un solo uso."
festivecurioitem,.lang,items\lang\spanish\festivecurioitem.lang,Festive Curio,Curiosidad festiva,la,una,esta,¿Cuál podrá ser su verdadera función?
finchitem,.lang,items\lang\spanish\finchitem.lang,Finch,Pinzón,el,un,este,Una sabrosa ave cantora.
flexiblecurioitem,.lang,items\lang\spanish\flexiblecurioitem.lang,Flexible Curio,Curiosidad elástica,la,una,esta,Un anillo elástico hecho de tela estrujada.
flowervasefurnitureitem,.lang,items\lang\spanish\flowervasefurnitureitem.lang,Flower Vase Furniture,Florero,el,un,este,Un jarrón de cerámica decorativo que contiene un colorido ramo de flores primaverales.
foldedblanketfurnitureitem,.lang,items\lang\spanish\foldedblanketfurnitureitem.lang,Folded Blanket Furniture,Manta doblada,la,una,esta,"Una manta gruesa y calentita con un diseño de tartán azul, cubierta de lana en el reverso, doblada cuidadosamente."
formalcurioitem,.lang,items\lang\spanish\formalcurioitem.lang,Formal Curio,Curiosidad formal,la,una,esta,Parece que fue importante para alguien hace mucho tiempo.
foxglovefairitem,.lang,items\lang\spanish\foxglovefairitem.lang,Foxglove [Fair],Dedalera,la,una,esta,Una flor letal. Aplícala a tus garras para aumentar temporalmente el daño de tus ataques.
foxglovegooditem,.lang,items\lang\spanish\foxglovegooditem.lang,Foxglove [Good],Dedalera,la,una,esta,Una flor mortal. Aplícala a tus garras para aumentar temporalmente el daño de tus ataques.
foxglovepooritem,.lang,items\lang\spanish\foxglovepooritem.lang,Foxglove [Poor],Dedalera,la,una,esta,Una flor peligrosa. Aplícala a tus garras para aumentar temporalmente el daño de tus ataques.
foxgloveseedsitem,.lang,items\lang\spanish\foxgloveseedsitem.lang,Foxglove Seeds,Semillas de dedalera,las,unas,estas,"Un puñado de minúsculas semillas marrones, obtenidas de una planta de dedalera. ¡Siémbralas en el jardín y mira cómo crecen!"
foxgloveseedsrecipeitem,.lang,items\lang\spanish\foxgloveseedsrecipeitem.lang,Foxglove Seeds Recipe,Receta de semillas de dedalera,la,una,esta,¡Cultiva dedalera en tu jardín con estas semillas! Esta planta vigorizante aumentará tu ataque por un corto período de tiempo.
frogitem,.lang,items\lang\spanish\frogitem.lang,Frog,Rana,la,una,esta,Finalmente estiró el anca.
fuzzycurioitem,.lang,items\lang\spanish\fuzzycurioitem.lang,Fuzzy Curio,Curiosidad plumosa,la,una,esta,Un pequeño plumón. ¡Hace cosquillas!
gardenupgradeiiitem,.lang,items\lang\spanish\gardenupgradeiiitem.lang,Garden Upgrade II,Mejora del jardín II,la,una,esta,Agrega 3 espacios cultivables adicionales en tu jardín. ¡Puedes sembrar más semillas con esta expansión!
gardenupgradeiitem,.lang,items\lang\spanish\gardenupgradeiitem.lang,Garden Upgrade I,Mejora de jardín I,la,una,esta,Agrega 3 espacios cultivables adicionales en tu jardín. ¡Puedes sembrar más semillas con esta expansión!
ghostbeetleitem,.lang,items\lang\spanish\ghostbeetleitem.lang,Ghost Beetle,Escarabajo fantasma,el,un,este,¡Es difícil detectar a estos elusivos coleópteros en la nieve!
ghostitem,.lang,items\lang\spanish\ghostitem.lang,Ghost,Fantasma,el,un,este,Un espíritu perdido que permanece en este mundo para atormentar a los vivos.
giftboxitem,.lang,items\lang\spanish\giftboxitem.lang,Gift Box,Caja de regalo,la,una,esta,A casi cualquier gato le encantaría recibir un regalo envuelto de forma tan bonita como este.
gloomsharditem,.lang,items\lang\spanish\gloomsharditem.lang,Gloomshard,Fragnumbra,la,una,esta,Un diminuto fragmento de una gema que solo se encuentra en las cuevas más oscuras.
gloweritem,.lang,items\lang\spanish\gloweritem.lang,Glower,Basaltogro,el,un,este,Un monstruo con piel similar al basalto. Sus inquietantes ojos penetran la oscuridad de las minas. Conocido por su mal genio.
glowingmushroomsfurnitureitem,.lang,items\lang\spanish\glowingmushroomsfurnitureitem.lang,Glowing Mushrooms Furniture,Hongos luminiscentes,los,unos,estos,"Cosechados de lo más profundo de la tierra, estos hongos extraños emiten una tenue luz verde a su alrededor."
glowpotionitem,.lang,items\lang\spanish\glowpotionitem.lang,Glow Potion,Poción de resplandor,la,una,esta,Esta poción misteriosa hará que tu pelaje se vuelva luminiscente por un minuto. De un solo uso.
goldcavecricketitem,.lang,items\lang\spanish\goldcavecricketitem.lang,Gold Cave Cricket,Grillo de cueva dorado,el,un,este,"Su torso arqueado resplandece con una luz sobrenatural, incluso en las cuevas más sombrías. Le gustan los lugares cálidos y a oscuras."
goldcrownaccessoryitem,.lang,items\lang\spanish\goldcrownaccessoryitem.lang,Gold Crown Accessory,Corona de oro,la,una,esta,¡Luce como la realeza dondequiera que vayas!
goldensealfairitem,.lang,items\lang\spanish\goldensealfairitem.lang,Goldenseal [Fair],Sello de oro,el,un,este,Una planta de hojas grandes con una baya roja vistosa en el centro. Aplícala sobre una herida para un alivio inmediato.
goldensealgooditem,.lang,items\lang\spanish\goldensealgooditem.lang,Goldenseal [Good],Sello de oro,el,un,este,Una planta de hojas frondosas con una baya roja grande en el centro. Aplícala sobre una herida para un alivio inmediato.
goldensealpooritem,.lang,items\lang\spanish\goldensealpooritem.lang,Goldenseal [Poor],Sello de oro,el,un,este,Una planta de hojas grandes con una pequeña baya roja en el centro. Aplícala sobre una herida para un alivio inmediato.
