file,extension,path,lang_furniture_name,lang_furniture_description
celestiallamp,.lang,furniture\lang\german\celestiallamp.lang,Himmlische Laterne,"Eine überirdische Laterne, die helles Licht ausstrahlt. Es ist unklar, woraus sie hergestellt wurde."
certificate,.lang,furniture\lang\german\certificate.lang,Zertifikat,"Ein Zertifikat für Exzellenz, das nur an die erfolgreichsten Katzen verliehen wird."
checkeredrug,.lang,furniture\lang\german\checkeredrug.lang,Teppich mit Schachbrettmuster,"Ein Teppich, gewebt mit einem sich wiederholenden Schwarz-Weiß-Muster."
chemistryset,.lang,furniture\lang\german\chemistryset.lang,Chemie-Set,Mehrere Glasröhren mit flüchtigen Chemikalien. Vorsichtig behandeln!
circlerug,.lang,furniture\lang\german\circlerug.lang,Kreisrunder Teppich,"Ein gemütlicher blauer Teppich, der in kreisrunder Form gewebt wurde."
classicalcolumn,.lang,furniture\lang\german\classicalcolumn.lang,Klassische Säule,"Eine hohe Säule aus robustem, behauenem Stein. Sie hielt einst ein mächtiges Dach in die Höhe."
classicalpedestal,.lang,furniture\lang\german\classicalpedestal.lang,Klassischer Sockel,"Ein kurzer geschnitzter Sockel, um deinen wertvollsten Besitz zur Schau zu stellen."
classicalstatue,.lang,furniture\lang\german\classicalstatue.lang,Klassische Statue,"Eine steinerne Statue einer menschlichen Figur, die ein großes Stück Töpferware trägt."
classicalurn,.lang,furniture\lang\german\classicalurn.lang,Klassische Urne,"Ein antikes Stück Keramik mit einem komplizierten Muster, das auf der Außenseite aufgemalt ist."
clingingivy,.lang,furniture\lang\german\clingingivy.lang,Kletternder Efeu,"Üppige Efeuranken, die an der Wand emporklettern."
colorfulgravel,.lang,furniture\lang\german\colorfulgravel.lang,Bunter Kies,"Eine Schicht winziger mehrfarbiger Steine, die aussehen, als gehörten sie in ein Aquarium."
comfycushiongreen,.lang,furniture\lang\german\comfycushiongreen.lang,Bequemes Kissen - grün,Ein quadratisches Kissen mit goldenen Quasten aus reichem grünem Stoff.
comfycushionpurple,.lang,furniture\lang\german\comfycushionpurple.lang,Bequemes Kissen - lila,Ein quadratisches Kissen mit goldenen Quasten aus reichem lila Stoff.
comfycushionred,.lang,furniture\lang\german\comfycushionred.lang,Bequemes Kissen - rot,Ein quadratisches Kissen mit goldenen Quasten aus reichem rotem Stoff.
comfycushionwhite,.lang,furniture\lang\german\comfycushionwhite.lang,Bequemes Kissen - weiß,Ein quadratisches Kissen mit goldenen Quasten aus reichem weißem Stoff.
corkblock,.lang,furniture\lang\german\corkblock.lang,Korkblock,Ein rechteckiger Block aus massivem Kork mit abgerundeten Kanten.
corkboard,.lang,furniture\lang\german\corkboard.lang,Kork-Pinnwand,"Eine lustige Art, deine Gedanken zu organisieren."
crystalball,.lang,furniture\lang\german\crystalball.lang,Kristallkugel,"Eine Glaskugel, die auf einem Messingständer thront. Wenn du genau hinsiehst, kannst du einen schwachen Nebel erkennen, der sich darin bewegt ... was könnte das bedeuten?"
crystalclearpond,.lang,furniture\lang\german\crystalclearpond.lang,Kristallklarer Teich,"Ein seltsamer Pool, ruhigen Wassers. Wenn du genau hinsiehst, kannst du Visionen erkennen, die über seine Oberfläche tanzen."
crystallamp,.lang,furniture\lang\german\crystallamp.lang,Kristall-Lampe,"Eine Schale mit blauen Kristallen, die mit kühlem Licht leuchtet. Wie denkst du, wird sie betrieben?"
crystalsa,.lang,furniture\lang\german\crystalsa.lang,Kristalle A,Wunderschöne Kristalle aus den Tiefen der Welt.
crystalsb,.lang,furniture\lang\german\crystalsb.lang,Kristalle B,Wunderschöne Kristalle aus den Tiefen der Welt.
crystalsc,.lang,furniture\lang\german\crystalsc.lang,Kristalle C,Wunderschöne Kristalle aus den Tiefen der Welt.
crystalsd,.lang,furniture\lang\german\crystalsd.lang,Kristalle D,Wunderschöne Kristalle aus den Tiefen der Welt.
curiocompactor,.lang,furniture\lang\german\curiocompactor.lang,Kuriositäten-Verdichter,"Handwerksstation. Ermöglicht dir, deine unerwünschten Kuriositäten in nützliche Gegenstände umzuwandeln."
cutleryset,.lang,furniture\lang\german\cutleryset.lang,Besteckset,Metallbesteck zum Essen.
cutstonetile,.lang,furniture\lang\german\cutstonetile.lang,Geschnittene Steinfliese,"Schwere Steine, die in Quadrate und Rechtecke geschnitten und in einem Muster verlegt wurden."
dancefloor,.lang,furniture\lang\german\dancefloor.lang,Tanzfläche,"Eine schillernde Anordnung von knallbunten Lichtern, angeordnet in einem quadratischen Raster. Gibt einen elektronischen Glanz ab, während sich das Farbmuster ändert."
desktoplamp,.lang,furniture\lang\german\desktoplamp.lang,Schreibtischlampe,Eine von Menschenhand hergestellte Lampe mit einem verstellbaren Hals. Perfekt für nächtliche Lernsessions.
dryingflowers,.lang,furniture\lang\german\dryingflowers.lang,Blumen trocknen,"Ein Bündel Blumen, das an einer Schnur aufgehängt und kopfüber getrocknet wird."
dryingherbs,.lang,furniture\lang\german\dryingherbs.lang,Kräuter trocknen,"Ein Bündel Kräuter, das an einer Schnur aufgehängt und kopfüber getrocknet wird."
dryingleaves,.lang,furniture\lang\german\dryingleaves.lang,Blätter trocknen,"Ein Bündel Blätter, das an einer Schnur aufgehängt und kopfüber getrocknet wird."
dryingweeds,.lang,furniture\lang\german\dryingweeds.lang,Unkraut trocknen,"Ein Bündel Unkraut, das an einer Schnur aufgehängt und kopfüber getrocknet wird."
dumbbell,.lang,furniture\lang\german\dumbbell.lang,Kurzhantel,Nur noch ein paar Wiederholungen und du wirst die stärkste Katze in der Welt sein!
emptyjars,.lang,furniture\lang\german\emptyjars.lang,Leere Gläser,Drei leere Gläser.
equationsposter,.lang,furniture\lang\german\equationsposter.lang,Plakat mit Gleichungen,Zerknittertes Blaupausenpapier mit hastig hingekritzelten Matheaufgaben auf dem gesamten Plakat. Diese Berechnungen sehen intensiv aus!
fancyrug,.lang,furniture\lang\german\fancyrug.lang,Schicker Teppich,"Ein großer, eleganter Teppich aus orangefarbenem Stoff. Kratze ihn nicht kaputt!"
fireflyjar,.lang,furniture\lang\german\fireflyjar.lang,Glühwürmchenglas,"Ein Glasbehälter mit mehreren flackernden Glühwürmchen, die ein großzügiges Licht erzeugen. Der Deckel hat Löcher für frische Luft."
flowerrug,.lang,furniture\lang\german\flowerrug.lang,Blumenteppich,Ein hellrosa Teppich mit einem Blumenmuster.
flowervase,.lang,furniture\lang\german\flowervase.lang,Blumenvase,Ein Tonkrug mit einem schönen Strauß bunter Blumen.
foldedblanket,.lang,furniture\lang\german\foldedblanket.lang,Zusammengefaltete Decke,"Eine dicke Decke mit einem blauen Karomuster auf der Oberseite und warmen wolligen Fasern auf der anderen Seite, ordentlich gefaltet."
footlocker,.lang,furniture\lang\german\footlocker.lang,Truhe am Ende des Bettes,Eine martialische Metallbox zum Aufbewahren deiner Gegenstände mit einem Schloss am Deckel.
gameboard,.lang,furniture\lang\german\gameboard.lang,Spielbrett,"Ein Strategiespiel in Arbeit. Es ist schwer zu sagen, wer gewinnt."
glowingmushrooms,.lang,furniture\lang\german\glowingmushrooms.lang,Leuchtende Pilze,"Ein Set blasser Pilze, die tief unter der Erde wachsen. Sie strahlen ein seltsames, kaltes Licht aus."
goldfishbowl,.lang,furniture\lang\german\goldfishbowl.lang,Goldfischglas,Ein lebhafter Goldfisch wohnt in diesem runden Glas. Er sieht ziemlich appetitlich aus.
grassbed,.lang,furniture\lang\german\grassbed.lang,Grasbett,"Ein gemütlicher Ort, um die Nacht zu verbringen."
grasspatch,.lang,furniture\lang\german\grasspatch.lang,Rasenstück,Ein Rasenstück für deinen Boden.
groovylamp,.lang,furniture\lang\german\groovylamp.lang,Groovige Lampe,Eine faszinierend leuchtende Flüssigkeit bewegt sich unter der Hitze der eingelassenen Glühbirne in dieser Lampe. Abgefahren!
gymbench,.lang,furniture\lang\german\gymbench.lang,Trainingsbank,Ein Trainingsgerät.
herbalistworkbench,.lang,furniture\lang\german\herbalistworkbench.lang,Kräuter-Werkbank,"Handwerksstation. Eine steinerne Werkbank mit allen Werkzeugen, die notwendig sind, um Kräuter zu verarbeiten und stärkere Mixturen aus ihnen herzustellen."
incensesticks,.lang,furniture\lang\german\incensesticks.lang,Räucherstäbchen,"Ein Bündel süß duftender Räucherstäbchen, angeordnet in einem Glas."
inkandquill,.lang,furniture\lang\german\inkandquill.lang,Tinte und Federkiel,"Ein winziges Reservoir mit schwarzer Tinte, das mit einer weißen Vogelfeder zum Schreiben gebündelt ist."
investigationboard,.lang,furniture\lang\german\investigationboard.lang,Tafel für Nachforschungen,"Irgendeine Katze hat viel Zeit damit verbracht, Informationen auf dieser Tafel zu organisieren. Es würde Tage dauern, um die Bedeutung ihrer Notizen zu entwirren!"
jarofleeches,.lang,furniture\lang\german\jarofleeches.lang,Glas mit Blutegeln,"Ihnen beim Schwimmen zuzusehen, ist ein toller Zeitvertreib, aber du solltest dich vergewissern, dass der Korken fest gesichert ist!"
journal,.lang,furniture\lang\german\journal.lang,Journal,"Ein kleines, ledergebundenes Buch mit leeren Seiten."
junkpile,.lang,furniture\lang\german\junkpile.lang,Ein Haufen Gerümpel,"Wirf doch einfach all deine Sachen auf einen Haufen in die Ecke, warum nicht? Was für ein Durcheinander!"
lionheadfountain,.lang,furniture\lang\german\lionheadfountain.lang,Löwenkopfbrunnen,"Ein in Stein gemeißelter Brunnenkopf, der die Gestalt eines wilden Löwen hat."
litterbox,.lang,furniture\lang\german\litterbox.lang,Katzenklo,"Kein sehr glamouröses Dekorationsstück, aber dennoch praktisch."
logtable,.lang,furniture\lang\german\logtable.lang,Baumstamm-Tisch,Ein langer Tisch aus einem abgeschliffenen Baumstamm.
marbletile,.lang,furniture\lang\german\marbletile.lang,Marmorfliese,Geschnittener und in einem Fischgrätenmuster verlegter Marmor für ein elegantes Aussehen.
messybed,.lang,furniture\lang\german\messybed.lang,Unordentliches Bett,Jemand hat heute Morgen das Bett nicht gemacht. Was für ein Durcheinander!
molefurnace,.lang,furniture\lang\german\molefurnace.lang,Maulwurfsofen,"Ein Steinziegelofen mit einem maulwurfsförmigen Wappen, perfekt zum Erhitzen von Metall."
moss,.lang,furniture\lang\german\moss.lang,Moos,"Feuchtes Moos, das an der Wand wächst."
mossbed,.lang,furniture\lang\german\mossbed.lang,Moosbett,Ein kleines rechteckiges Stück Moos mit einem weichen Kissen aus Pflanzen.
mug,.lang,furniture\lang\german\mug.lang,Becher,"Ein Keramikbecher, der für menschliche Hände gemacht ist. Wäre es nicht lustig, ihn vom Tisch zu stoßen?"
mushroomshelves,.lang,furniture\lang\german\mushroomshelves.lang,Pilzregale,"Enorme Pilzregale, die an deiner Wand wachsen können."
mushroomstoolblue,.lang,furniture\lang\german\mushroomstoolblue.lang,Pilzhocker (blau),"Ein großer gesprenkelter Pilz, der ungefähr die richtige Größe hat, um als Sitzgelegenheit zu dienen."
mushroomstoolgreen,.lang,furniture\lang\german\mushroomstoolgreen.lang,Pilzhocker (grün),"Ein großer gesprenkelter Pilz, der ungefähr die richtige Größe hat, um als Sitzgelegenheit zu dienen."
mushroomstoolred,.lang,furniture\lang\german\mushroomstoolred.lang,Pilzhocker (rot),"Ein großer gesprenkelter Pilz, der ungefähr die richtige Größe hat, um als Sitzgelegenheit zu dienen."
mushroomtable,.lang,furniture\lang\german\mushroomtable.lang,Pilztisch,"Dieser Pilz ist enorm! Wo glaubst du, ist er ursprünglich gewachsen? Er ist niedrig und breit genug, um als Tisch verwendet zu werden."
mysticpedestal,.lang,furniture\lang\german\mysticpedestal.lang,Mystischer Sockel,"Ein kreisförmiger Sockel, der mit einem dicken, lila Leinenstoff bespannt ist."
naturalstonetile,.lang,furniture\lang\german\naturalstonetile.lang,Natursteinfliese,"Große Natursteine aus einem Fluss, die fachmännisch in einem organischen Muster verlegt wurden."
paintingblank,.lang,furniture\lang\german\paintingblank.lang,Gemälde: Leer,Eine leere Leinwand.
paintingexquisite,.lang,furniture\lang\german\paintingexquisite.lang,Gemälde: Exquisit,Ein königliches Porträt einer stattlichen Katze.
paintingflock,.lang,furniture\lang\german\paintingflock.lang,Gemälde: Schwarm,"Ein Gemälde mehrerer Vögel, die in Formation durch die Wolken fliegen."
paintinghorrific,.lang,furniture\lang\german\paintinghorrific.lang,Gemälde: Schrecklich,Eine sehr normale Szene eines sehr normalen Waldes nach Einbruch der Dunkelheit.
paintingmodern,.lang,furniture\lang\german\paintingmodern.lang,Gemälde: Modern,"Quadrate verschiedener Schattierungen von Gelb, Rot und Blau auf einer rechteckigen Leinwand."
paintingserene,.lang,furniture\lang\german\paintingserene.lang,Gemälde: Gelassenheit,"Eine breite Leinwand mit einer Illustration eines Bergsees, umgeben von Kiefern."
paintingsmallabstract,.lang,furniture\lang\german\paintingsmallabstract.lang,Gemälde: Kleines Abstraktes,"Ein winziges Gemälde, das mit mehreren Flecken leuchtender Farbe gemustert ist."
paintingsmalllandscape,.lang,furniture\lang\german\paintingsmalllandscape.lang,Gemälde: Kleine Landschaft,Ein winziges Gemälde einer Meeresküste.
paintingsmallportrait,.lang,furniture\lang\german\paintingsmallportrait.lang,Gemälde: Kleines Porträt,Ein winziges Porträt einer grauen Katze.
paintingsplatter,.lang,furniture\lang\german\paintingsplatter.lang,Gemälde: Spritzer,"Eine Leinwand, die mit mehreren hellen Spritzern bunter Farbe dekoriert ist."
painttubes,.lang,furniture\lang\german\painttubes.lang,Farbtuben,"Eine Auswahl an Flaschen, gefüllt mit frischer Farbe."
petfoodbowl,.lang,furniture\lang\german\petfoodbowl.lang,Futternapf für Haustiere,"Eine Keramikschale, randvoll mit Katzenfutter."
petwaterbowl,.lang,furniture\lang\german\petwaterbowl.lang,Wassernapf für Haustiere,"Eine Keramikschale, randvoll mit frischem Wasser."
pickaxe,.lang,furniture\lang\german\pickaxe.lang,Spitzhacke,"Ein schweres Grabwerkzeug, das stolz an deiner Wand ausgestellt werden kann. Es sieht glänzend und neu aus!"
plaidrunner,.lang,furniture\lang\german\plaidrunner.lang,Karierter Läufer,Ein langer Teppich mit grünem Karomuster. Sehr festlich!
playmat,.lang,furniture\lang\german\playmat.lang,Spielmatte,"Eine bunte Matte mit einem bedruckten Muster, die für die Spielzeit gemacht ist."
plushrug,.lang,furniture\lang\german\plushrug.lang,Plüschteppich,"Ein kleiner Bodenteppich aus dicken rosa Fasern, die sich sehr weich an den Pfoten anfühlen."
postednote,.lang,furniture\lang\german\postednote.lang,Veröffentlichte Notiz,"Was auch immer diese Notiz zu sagen hat, sie sieht sehr wichtig aus!"
pouf,.lang,furniture\lang\german\pouf.lang,Hocker,Ein weicher ovaler Hocker aus grob gestricktem Stoff.
preycache,.lang,furniture\lang\german\preycache.lang,Lager für Beute,Eine Kiste voller frisch gefangener Beute.
recordplayer,.lang,furniture\lang\german\recordplayer.lang,Schallplattenspieler,"Ein antiker Schallplattenspieler, der überraschenderweise noch funktioniert. Wenn du eine Schallplatte findest, könntest du vielleicht etwas Musik spielen?"
redtome,.lang,furniture\lang\german\redtome.lang,Roter Foliant,"Ein seltsames rotes Buch mit einem unheimlich aussehenden Einband. Es ist in einer Sprache geschrieben, die du nicht entziffern kannst."
rocka,.lang,furniture\lang\german\rocka.lang,Felsen A,Ein grauer Stein. Er ist ziemlich schwer.
rockb,.lang,furniture\lang\german\rockb.lang,Felsen B,Ein grauer Stein. Er ist ziemlich schwer.
rockc,.lang,furniture\lang\german\rockc.lang,Felsen C,Ein grauer Stein. Er ist ziemlich schwer.
rockd,.lang,furniture\lang\german\rockd.lang,Felsen D,Ein grauer Stein. Er ist ziemlich schwer.
rubbermat,.lang,furniture\lang\german\rubbermat.lang,Gummimatte,"Eine kleine dunkle Matte aus dünnem Gummi. Ideal geeignet, um Schlamm von den Pfoten zu wischen, aber mehr auch nicht."
scatteredpapers,.lang,furniture\lang\german\scatteredpapers.lang,Verstreute Papiere,"Diese Papiere waren früher in einem ordentlichen Stapel angeordnet, aber jemand hat sie umgestoßen und sich nicht die Mühe gemacht, sie aufzuheben!"
scratchedrunes,.lang,furniture\lang\german\scratchedrunes.lang,Verkratzte Runen,Unheilvolle Gestalten haben sich in den Boden gekrallt.
scratchingpost,.lang,furniture\lang\german\scratchingpost.lang,Kratzbaum,"Trainiere deine Fähigkeiten! Schärfe deine Krallen! Dieser mit Teppich bedeckte Stamm ist der perfekte Ort, um ein paar neue Tricks auszuprobieren."
seasonalplantshort,.lang,furniture\lang\german\seasonalplantshort.lang,Saisonale Pflanze - kurz,"Ein kleiner Tontopf, der eine lebende, saisonale Pflanze enthält. Drehe dieses Möbelstück, um die Art der Pflanze zu ändern."
seasonalplanttall,.lang,furniture\lang\german\seasonalplanttall.lang,Saisonale Pflanze - groß,"Ein großer Tonkrug, der eine lebende, saisonale Pflanze enthält. Drehe dieses Möbelstück, um die Art der Pflanze zu ändern."
seedbag,.lang,furniture\lang\german\seedbag.lang,Saatgutbeutel,Ein Leinensack voller Blumensamen.
spiketrap,.lang,furniture\lang\german\spiketrap.lang,Stachelfalle,"Eine gefährliche Apparatur, die von selbst läuft. Vorsichtig behandeln!"
stalagmitea,.lang,furniture\lang\german\stalagmitea.lang,Stalagmit A,"Ein hoher Felsen, entstanden durch jahrelange Ablagerungen von Spurenelementen aus tropfendem Wasser."
stalagmiteb,.lang,furniture\lang\german\stalagmiteb.lang,Stalagmit B,"Ein hoher Felsen, entstanden durch jahrelange Ablagerungen von Spurenelementen aus tropfendem Wasser."
stalagmitec,.lang,furniture\lang\german\stalagmitec.lang,Stalagmit C,"Ein hoher Felsen, entstanden durch jahrelange Ablagerungen von Spurenelementen aus tropfendem Wasser."
stalagmited,.lang,furniture\lang\german\stalagmited.lang,Stalagmit D,"Ein hoher Felsen, entstanden durch jahrelange Ablagerungen von Spurenelementen aus tropfendem Wasser."
starryrug,.lang,furniture\lang\german\starryrug.lang,Sternenteppich,"Ein runder Teppich mit einem magisch anmutenden Muster, gewebt nach dem Vorbild des Nachthimmels."
stonebed,.lang,furniture\lang\german\stonebed.lang,Steinbett,"Wenn du gerne auf einer harten Oberfläche schläfst, ist dies ein großartiges Bett für dich."
stonebookshelf,.lang,furniture\lang\german\stonebookshelf.lang,Bücherregal aus Stein,"Regale, gehauen in eine Platte aus kaltem Stein, die mehrere Bände und Schnickschnack enthalten."
stonedais,.lang,furniture\lang\german\stonedais.lang,Steinpodest,Eine niedrige Plattform aus staubigen vergilbten Steinen.
stoneendtable,.lang,furniture\lang\german\stoneendtable.lang,Beistelltisch aus Stein,Ein kleiner niedriger Tisch aus massivem Stein. Ein Regal wurde in die Seite geschnitzt.
stoneshelves,.lang,furniture\lang\german\stoneshelves.lang,Steinregale,Zwei kleine freischwebende Regale aus flachem Stein.
stonestool,.lang,furniture\lang\german\stonestool.lang,Steinhocker,"Eine Sitzgelegenheit, die aus einem nahegelegenen Fluss geholt wurde. Zugegeben, nicht der bequemste Hocker, aber was ihm an Praktikabilität fehlt, macht er durch seinen Stil wett."
stonetable,.lang,furniture\lang\german\stonetable.lang,Steintisch,Dieser Tisch wurde aus mehreren schweren Steinen zusammengebastelt. Wunderbarerweise ist er ziemlich eben!
stonetray,.lang,furniture\lang\german\stonetray.lang,Steintablett,"Eine dünne, kalte Platte aus Stein."
storagecrate,.lang,furniture\lang\german\storagecrate.lang,Aufbewahrungskiste,"Brauchst du einen praktischen Ort, um all deine Gegenstände aufzubewahren? Hier ist er! Eine unscheinbare Holzkiste."
stretchmat,.lang,furniture\lang\german\stretchmat.lang,Stretch-Matte,Eine lange mintgrüne Gummimatte. Der perfekte Ort für deine morgendlichen Dehnungsübungen. Bleib flexibel!
studydesk,.lang,furniture\lang\german\studydesk.lang,Schreibtisch,Ein dunkler Holzschreibtisch mit vielen Schubladen.
stumpseat,.lang,furniture\lang\german\stumpseat.lang,Stumpfsitz,Ein niedriger Sitz aus dem Stumpf einer Eiche.
tacticiansmap,.lang,furniture\lang\german\tacticiansmap.lang,Taktik-Karte,"Eine verblasste Stoffkarte mit mehreren farbenfrohen Spielsteinen, die sorgfältig auf der Oberfläche verteilt sind."
tapestry,.lang,furniture\lang\german\tapestry.lang,Wandteppich,"Eine antike Darstellung einer großen Schlacht, in Wolle gewebt."
templeglyphs,.lang,furniture\lang\german\templeglyphs.lang,Tempel-Glyphen,"Seltsame Schnitzereien, die du in deine Wand kratzen kannst. Drehe dieses Möbelstück, um das Aussehen der Glyphen zu ändern."
thatchedbed,.lang,furniture\lang\german\thatchedbed.lang,Strohgedecktes Bett,"Eine Bambusplatte, bedeckt mit strohgedeckten Palmwedeln."
towelhook,.lang,furniture\lang\german\towelhook.lang,Handtuchhaken,Drei hölzerne Stifte. Ein weißes Handtuch ist über dem mittleren Stift drapiert.
toyball,.lang,furniture\lang\german\toyball.lang,Spielzeugball,"Ein winziger Plastikball, der mit Stoff überzogen ist. Perfekt zum Herumspielen und Jagen."
toymouse,.lang,furniture\lang\german\toymouse.lang,Spielzeugmaus,Eine winzige Stoffmaus mit einem neonfarbenen Schwanz. Riecht schwach nach Katzenminze.
toyrope,.lang,furniture\lang\german\toyrope.lang,Spielzeugseil,"Ein dickes Seil, das aus mehreren kleineren bunten Kordeln gewickelt ist."
treasurechest,.lang,furniture\lang\german\treasurechest.lang,Schatzkiste,"Der perfekte Ort, um deine Wertsachen zu verstecken! Kann verwendet werden, um auf dein Lager zuzugreifen."
treasurehoardbed,.lang,furniture\lang\german\treasurehoardbed.lang,Schatzkammer-Bett,"Gold! Edelsteine! Alles, was das Herz einer gierigen Katze begehrt, ist majestätisch hoch aufgetürmt. Schlafe auf deinem Schatz, um ihn vor denen zu beschützen, die ihn dir wegnehmen wollen ..."
troutplaque,.lang,furniture\lang\german\troutplaque.lang,Forellen-Plakette,Das Vorzeigen deiner Angelkünste hat noch nie so gut ausgesehen.
twinbed,.lang,furniture\lang\german\twinbed.lang,Doppelbett,Ein frech gemustertes Bett für ein Menschenkind.
wackybouquet,.lang,furniture\lang\german\wackybouquet.lang,Verrückter Blumenstrauß,"Eine wilde Auswahl der seltsamsten Pflanzen, die man sich vorstellen kann. Die Blüten sehen wie unheimliche Augen aus, die jede deiner Bewegungen beobachten ..."
wackydrawing,.lang,furniture\lang\german\wackydrawing.lang,Verrückte Zeichnung,"Jemand (oder etwas!) hat das nur für dich gezeichnet. Es wäre unhöflich, es wegzuwerfen, findest du nicht auch?"
wackylamp,.lang,furniture\lang\german\wackylamp.lang,Verrückte Lampe,"Eine beunruhigende Lampe mit einer augenförmigen Laterne, die ein fahles Licht ausstrahlt."
wackypainting,.lang,furniture\lang\german\wackypainting.lang,Verrücktes Gemälde,"Es sieht aus wie eine ovalförmige Spirale, die von Dornen umgeben ist. Die Farben im Muster ändern sich dezent im Laufe der Zeit."
wackyrug,.lang,furniture\lang\german\wackyrug.lang,Verrückter Teppich,"Ein asymmetrischer Teppich, der an kriechende Tentakel erinnert."
