file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
chewyroots,.lang,tasks\lang\german\chewyroots.lang,Kauwurzeln,"Immer wenn ich nachdenken muss, brauche ich etwas Kaugummiartiges zum Kauen. Wie auch immer, ich habe keinen Lakritz mehr und könnte etwas gebrauchen.","[thinking]Oh, es ist keine große Krise, ich könnte nur etwas mehr [green]Lakritz[/green] zum Kauen gebrauchen, während ich nachdenke. Die Wurzeln halten ewig, wenn man sanft kaut.///[neutral]Es hat einen starken Geschmack, aber das hat mich nie abgeschreckt. Wenn du etwas siehst, sag mir Bescheid, okay?","[happy]Nun, das ist reichlich [green]Lakritz[/green], es wird mich lange kauen und nachdenken lassen! Vielen Dank, #player_name#."
cliniccomplications,.lang,tasks\lang\german\cliniccomplications.lang,Klinik-Komplikationen,"Ah! Es gibt nie genug Gelbwurzel. Die Katzen verletzen sich ständig und wir brauchen etwas, um ihre Wunden so schnell wie möglich zu behandeln!","[sad]Oh, was soll ein Arzt nur tun? Mir geht [green]Gelbwurzel[/green] aus!///[shocked]Oh nein, wenn ich keine neue Quelle für [green]Gelbwurzel[/green] finde, muss ich auf ... experimentelle Behandlungen zurückgreifen. Kannst du mir helfen, #player_name#?","[happy]Bei meinen Schnurrhaaren! Erkenne ich da etwa [green]Gelbwurzel[/green]? Ja, meine Nase täuscht mich nicht!///[playful]Du hast mir sehr geholfen, #player_name#. Ich werde dir das jetzt aus den Pfoten nehmen."
crushedcoral,.lang,tasks\lang\german\crushedcoral.lang,Zerkleinerte Koralle,"Am Strand gibt es jede Menge Korallen, oder? Bitte hol sie für mich und bring sie zurück. Ich kann mir nicht die Mühe machen, sie selbst zu sammeln, weißt du.","[shocked]Ja, ich suche nach [green]Korallen[/green]! Aber ich werde dir den Grund nicht sagen.///[neutral]Okay, da du mich dazu drängst und nicht locker lässt, werde ich dir sagen, warum ich sie brauche. Aber du darfst es niemandem verraten!///[thinking]Ich zermahle die [green]Korallen[/green] zu einem feinen Pulver, das einen schönen roten Farbstoff ergibt. Ich benutze das Pulver als Färbemittel, um meinen Haaren einen kräftigeren Farbton zu geben.///[shocked]Es ist meine Geheimwaffe, verstehst du! Geh jetzt und hol mir etwas, bevor meine fabelhafte Haarfarbe noch mehr verblasst, als sie es ohnehin schon tut.","[shocked]Ah, du hast die erforderlichen [green]Korallen[/green] gesammelt? Lass mich sehen.///[thinking]Hmmm, kleinere Exemplare als ich gewohnt bin, aber es wird ausreichen. Ich werde sie nehmen.///[neutral]Hier ist deine Belohnung für deine Bemühungen."
dangerforbreakfast,.lang,tasks\lang\german\dangerforbreakfast.lang,Gefahr zum Frühstück,"Ich habe gehört, dass einige Schlangen angefangen haben, sich in der Nähe der Stadt niederzulassen. Möchte jemand eine bekämpfen? Es wird Spaß machen, versprochen.","[neutral]Hey, du versuchst, eine [green]Schlange[/green] aufzuspüren, oder? Ich habe gehört, dass du meine Aufgabe übernommen hast.///[playful]Ich bin sicher, du wirst das gut machen. Sie sind zähe Kreaturen, aber sie sind kein Gegner für uns Katzen.","[happy]Oh, das ist keine kleine [green]Schlange[/green], die du da an Land gezogen hast! Ich wünschte, ich hätte den Kampf sehen können. Ich wette, es war episch.///[neutral]Du musst mir später alles darüber erzählen, okay?"
darklady,.lang,tasks\lang\german\darklady.lang,Dunkler Marienkäfer,"Ich habe heute fast einen schwarzen Marienkäfer erwischt, aber er ist mir durch die Krallen gekrochen und entkommen! Kann mir jemand helfen, einen anderen zu finden?","[shocked]Ich war so nah dran, einen [green]schwarzen Marienkäfer[/green] zu fangen!///[sad]Ich hatte ihn in meinen Pfoten und alles. Ich muss meine Faust nicht fest genug geschlossen haben, denn er kroch direkt heraus und flog weg.///[angry]Ich habe einen Platz in meiner Käfersammlung für einen, aber er ist immer noch leer. Wenn du einen [green]schwarzen Marienkäfer[/green] siehst, [i]bitte bitte bitte[/i] bring ihn mir!","[shocked]Oh wow! Der ist sogar noch größer als der, der entkommen ist! Was für ein cooler Käfer!///[happy]Danke, #player_name#. Ich weiß, dass es nicht einfach sein muss, sich von so einem großartigen [green]schwarzen Marienkäfer[/green] zu trennen. Du bist die beste Katze."
easyscouting,.lang,tasks\lang\german\easyscouting.lang,Einfaches Scouting,"Wir brauchen einen Scout, der mehrere Regionen in der Wildnis erkundet und Bericht erstattet.","[neutral]Man weiß nie, was man in der Wildnis finden kann, deshalb schicken wir regelmäßig Scouts los, um die Lage zu überprüfen.///[neutral]Wenn du etwas Verdächtiges bemerkst, stell sicher, dass du es in deinem Bericht vermerkst.","[neutral]Bist du von deiner Erkundungsmission zurück? Alles sah normal aus? Gut.///[happy]Danke für deine Freiwilligenarbeit. Wir sind alle sicherer, wenn wir wissen, was in der Welt um uns herum vor sich geht."
energycrisis,.lang,tasks\lang\german\energycrisis.lang,Energiekrise,"Hallo, meine lieben Teammitglieder! Ich bitte die Gemeinschaft, etwas Baldrian für mich zu ernten. Es hält mich energiegeladen, während ich bis spät in die Nacht arbeite!","[shocked]Oh, welch schreckliches Schicksal! In welcher Krise ich mich befinde!///[sad]Wie soll ich bis spät in die Nacht an wissenschaftlichen Experimenten arbeiten, wenn mir die Energie dazu fehlt?///[angry]Normalerweise verlasse ich mich auf die Pflanze namens [green]Baldrian[/green], um mich auf Trab zu halten, aber es scheint, dass sie unerwartet zur Neige gegangen ist.///[sad]Es ist wirklich schade. Wenn eine feine Katze mir nur etwas bringen könnte, um meinen Vorrat wieder aufzufüllen ...","[happy]Ein Triumph! Du hast die dringend benötigten Energiepflanzen gefunden, wie ich sie angefordert hatte. Diese werden perfekt funktionieren.///[playful]Ich danke dir, #player_name#. Jetzt können meine Experimente weitergehen!"
experimentation,.lang,tasks\lang\german\experimentation.lang,Experimentieren,Gesucht: Etwas Schatten für meinen neuesten Experimenttrank. Effekte: Unbekannt!,"[playful]Ja, ich war es, der die Bestellung für etwas [green]Schatten[/green] aufgegeben hat!///[sad]Aber es ist sehr schwierig zu beschaffen. Hier kommst du ins Spiel, #player_name#.///[thinking]Gerüchten zufolge kann das Besiegen von Schattenkatzen eine geringe Menge [green]Schatten[/green] ergeben ...","[playful]Um Himmel Willen, was für eine gewaltige Menge an [green]Schatten[/green]! Das ist genau das, was ich für mein Experiment brauche.///[happy]Die Wissenschaft wird dich für deine Beiträge in Erinnerung behalten, #player_name#!"
fuzzyfeeling,.lang,tasks\lang\german\fuzzyfeeling.lang,Wuscheliges Gefühl,"Manno, diese Trägspinner sind wirklich schwer zu finden! Wenn du einen übrig hast, würde ich sie gerne haben, okay?","[neutral]Ich brauche einen [green]Trägspinner[/green]. Warum? Weil ich mag, wie sie sich anfühlen. Sie sind flauschig und weich und machen mich glücklich, okay?///[thinking]Nicht jede Motte wird es tun. Nur ein [green]Trägspinner[/green] hat das Muster, das ich suche.///[neutral]Wenn du wirklich versuchen willst, eine für mich zu finden, versuche es nachts. Zu dieser Zeit scheinen die Motten am aktivsten zu sein.","[shocked]Oh mein Gott, das ist definitiv ein [green]Trägspinner[/green]. Wo hast du den gefunden, #player_name#?///[playful]Ich denke, es spielt keine Rolle. Ich bin einfach froh, dass du ihn mir gebracht hast. Ich weiß das zu würdigen, Schätzchen."
greenthumb,.lang,tasks\lang\german\greenthumb.lang,Grüner Daumen,"Ich denke, die Welt wäre besser dran, wenn wir alle mehr Zeit in der Natur verbringen würden, stimmst du nicht auch zu? Möchte eine Katze mir helfen, neue Kräuter und Blumen zu pflanzen?","[happy]Ich würde gerne den Garten voller Leben sehen.///[playful]Ich belohne jede Katze mit [green]Aufgaben-Tokens[/green], die ein paar neue Kräuter oder Blumen anpflanzt. Sag mir Bescheid, wenn du das gemacht hast, okay?","[happy]Es gibt nichts Besseres, als mit den Pfoten zu arbeiten, um neue Pflanzen in die Welt zu bringen. Es tut dem Herzen gut.///[happy]Hier ist die versprochene Belohnung. Vielen Dank, dass du meine Anfrage ernst genommen hast, #player_name#."
greenwithenvy,.lang,tasks\lang\german\greenwithenvy.lang,Grün vor Neid,"Ich habe viele Smaragde, aber ich brauche mehr! Mehr, mehr, mehr! Man kann nie genug Smaragde haben.","[shocked]Bist du wirklich hier, um zu fragen, was ich mit all diesen [green]Smaragden[/green] machen werde? Ich brauche keine Erklärung!///[playful]Es reicht zu sagen, dass ich Pläne habe. Große Pläne. Pläne, die dich nicht betreffen, #player_name# ...","[playful]Schau auf die Schönheit dieser [green]Smaragde[/green]! Wie kostbar diese Edelsteine für mein Herz sind.///[neutral]Das hast du gut gemacht, #player_name#."
hardscouting,.lang,tasks\lang\german\hardscouting.lang,Hartes Spähen,"Wir brauchen einen Scout, der mehrere Regionen in der Wildnis erkundet und Bericht erstattet.","[neutral]Man weiß nie, was man in der Wildnis finden kann, deshalb schicken wir regelmäßig Scouts los, um die Lage zu überprüfen.///[neutral]Wenn du etwas Verdächtiges bemerkst, stell sicher, dass du es in deinem Bericht vermerkst.","[neutral]Bist du von deiner Erkundungsmission zurück? Alles sah normal aus? Gut.///[happy]Danke für deine Freiwilligenarbeit. Wir sind alle sicherer, wenn wir wissen, was in der Welt um uns herum vor sich geht."
honeyourhunting,.lang,tasks\lang\german\honeyourhunting.lang,Schärfe deine Jagdfähigkeiten,"Wir müssen an unseren Jagdfähigkeiten arbeiten! Ich biete eine Belohnung für jede Katze an, die bereit ist, das Fangen von Beute zu üben. Du kannst behalten, was du fängst.","[neutral]Du hast meine Anzeige gesehen? Ja, ich befürchte, dass #colony_title# in Bezug auf die Jagd ziemlich nachlässig geworden ist.///[thinking]Wir müssen immer bereit sein, mit einem Nahrungsmangel umzugehen, falls es jemals dazu kommt. Die beste Vorbereitung ist, regelmäßig das Jagen zu üben.///[playful]Deshalb habe ich eine Belohnung an die Tafel gepostet. Wenn du Beute fängst, gebe ich dir die Belohnung. Ich überlasse dir sogar das, was du fängst!","[playful]Ich habe dich beobachtet, wie du dein Jagdtraining absolviert hast. Du bist ziemlich gut darin, Beute zu fangen, #player_name#. Gut gemacht.///[neutral]Hier sind deine [green]Aufgaben-Tokens[/green], wie versprochen. Danke, dass du bereit bist, deine Fähigkeiten zu verbessern."
juicysweet,.lang,tasks\lang\german\juicysweet.lang,Saftig-süß,"Oh, ich habe gestern den ganzen Tag nach Himbeeren gesucht, aber ich konnte keine finden. Werde ich jemals eine probieren können? Wahrscheinlich nicht ...","[sad]Warum finde ich jedes Mal, wenn ich versuche, eine [green]Himbeere[/green] zu finden, nur [green]Gelbwurzel[/green]?///[shocked]Ich möchte keine [green]Gelbwurzel[/green] essen! Ich möchte eine [green]Himbeere[/green] essen!///[sad]Ich glaube nicht, dass ich in nächster Zeit mehr Glück habe, also könntest du mir vielleicht ein paar [green]Himbeeren[/green] mitbringen? Ich weiß, dass du sie die ganze Zeit findest ...","[shocked]Wow, warum sind deine Pfoten alle rot? Hast du gekämpft? Oh, nein ...///[playful]Oh, warte! Das ist nicht der Grund, warum deine Pfoten rot sind. Ich kann [green]Himbeeren[/green] riechen! Du musst welche für mich gefunden haben, oder?///[happy]Wow, die sehen besonders süß und saftig aus! Es tut mir leid, dass ich selbst keine für mich finden konnte. Ich schätze es wirklich, dass du mir ein paar zum Naschen gebracht hast."
keepdigging,.lang,tasks\lang\german\keepdigging.lang,Weiter graben,"Unsere Tunnel stürzen immer wieder ein! Wir brauchen eine Katze mit scharfen Krallen, um eine neue Route nach unten zu öffnen. 24 Ebenen sollten ausreichen.","[neutral]Unsere Versorgungswege sind durch all diese einstürzenden Felsen abgeschnitten! Wir brauchen eine Katze wie dich, die einen neuen Pfad nach unten findet.///[neutral]Ich denke, wenn du etwa 24 Ebenen tief gräbst, würde ich dir gerne einige [green]Aufgaben-Tokens[/green] geben. Was denkst du?","[neutral]Großartig, jetzt können wir wieder Vorräte zu unseren Minenarbeitern bringen. Sieht so aus, als hättest du einen anständigen Pfad gefunden. Hoffentlich bleibt er diesmal länger offen.///[neutral]Und hier ist deine Belohnung für deine harte Arbeit. Es lohnt sich, uns Maulwürfen zu helfen, nicht wahr?"
keepingup,.lang,tasks\lang\german\keepingup.lang,Auf dem Laufenden bleiben,"Wie soll ich ohne ein grünes Glühwürmchen leben, das mir Gesellschaft leistet? Nein, ich kann nicht weitermachen! Ich muss es für mich selbst haben!","[sad]Oh, es ist eine große Tragödie! Denn ich, #npc_name_glimmer#, habe von etwas gehört, das ich nicht besitze!///[angry]Die anderen werden über mich lachen, wenn sie herausfinden, dass ich kein [green]grünes Glühwürmchen[/green] habe! Welch Horror! Welch Trauer! Was für ein Neid ich empfinde!///[sad]Ich bitte dich, #player_name#, behebe dieses Unrecht und liefere mir bald ein [green]grünes Glühwürmchen[/green]!","[happy]Die Krise wurde abgewendet! Ich bin jetzt im Besitz eines [green]grünen Glühwürmchens[/green].///[playful]Niemand wird mich mehr verspotten, weil mir etwas fehlt!"
luckcharm,.lang,tasks\lang\german\luckcharm.lang,Glücksbringer,"Ich brauche mehrere Kaninchen. Wusstest du nicht, dass sie extrem glücksbringende Kreaturen sind?","[angry]Ich möchte nur ein [green]Kaninchen[/green] fangen, aber diese dummen kleinen Kreaturen entkommen mir bei jedem Versuch!///[playful]Sie mögen mich überlisten, aber sie werden dich nicht überlisten, #player_name#. Ihre Schicksale sind bereits entschieden.","[playful]Oh, hihi, die werden perfekt sein. Deine Bemühungen werden nicht unbelohnt bleiben."
mediumscouting,.lang,tasks\lang\german\mediumscouting.lang,Mittlere Erkundung,"Wir brauchen einen Scout, der mehrere Regionen in der Wildnis erkundet und Bericht erstattet.","[neutral]Man weiß nie, was man in der Wildnis finden kann, deshalb schicken wir regelmäßig Scouts los, um die Lage zu überprüfen.///[neutral]Wenn du etwas Verdächtiges bemerkst, stell sicher, dass du es in deinem Bericht vermerkst.","[neutral]Bist du von deiner Erkundungsmission zurück? Alles sah normal aus? Gut.///[happy]Danke für deine Freiwilligenarbeit. Wir sind alle sicherer, wenn wir wissen, was in der Welt um uns herum vor sich geht."
miceproblems,.lang,tasks\lang\german\miceproblems.lang,Mäuseprobleme,"Ich fürchte, wenn ich nicht bald ein paar Mäuse finde, werden sie dem Laden ausgehen! Ich kann nicht zulassen, dass wir unsere Kunden enttäuschen.","[shocked]Ich weiß nicht, was wir tun werden, wenn wir nicht bald einige [green]Mäuse[/green] finden! Ich habe gerade hinten nachgeschaut und es sieht ziemlich verzweifelt aus.///[thinking]Bitte lass mich wissen, wenn du welche findest! Sonst weiß ich nicht, was ich tun soll.","[shocked]Oh, #player_name#, du bist meine Rettung! Diese [green]Mäuse[/green] sind genau das, was wir brauchten, um den Laden offenzuhalten.///[happy]Ich werde mich sicherlich an deine Freundlichkeit erinnern."
minnowsnack,.lang,tasks\lang\german\minnowsnack.lang,Elritzen-Snack,"Ich bin nicht sehr hungrig, aber ich könnte etwas Leichtes gebrauchen. Etwas wie eine winzig kleine Elritze. Nur ein Bissen reicht aus, um mich satt zu machen!","[shocked]Oh, es ist nicht so wichtig. Ich brauche #leader_title_with_article# nicht, um es für mich zu finden. Es sei denn, du willst es!///[neutral]Ich habe gerade Lust, eine [green]Elritze[/green] zu essen, weißt du? Klingt das nicht lecker?","[happy]Perfekt! Das ist die richtige Größe und alles. Das wird ein großartiger Snack sein.///[shocked]Ich habe fast eine [green]Elritze[/green] für mich gefunden, bevor du vorbeigekommen bist, aber ich habe sie verjagt. Ups.///[happy]Wie auch immer, vielen Dank für deine Hilfe, #player_name#! Sie sieht sehr lecker aus."
mousemorsel,.lang,tasks\lang\german\mousemorsel.lang,Mäusehäppchen,Ich würde gerne ein paar Mäuse zum Abendessen essen. Sicher hat jemand ein paar übrig?,"[neutral]Ich habe Hunger auf [green]Mäuse[/green], am liebsten frische. Aber ich nehme, was ich kriegen kann.///[thinking]Hast du vielleicht ein paar in deinem Lager herumliegen, #player_name#?","[happy]Diese enttäuschen nicht! Sie sehen ziemlich prall und frisch aus. Gute Jagd, #player_name#.///[neutral]Wenn du mich entschuldigen würdest, ich habe einige [green]Mäuse[/green] zum verschmausen. Dank dir natürlich."
naturesbounty,.lang,tasks\lang\german\naturesbounty.lang,Die Fülle der Natur,"Es gibt keinen Mangel an Kräutern, die in der Wildnis wachsen, aber sie sind für uns viel nützlicher, nachdem sie von jemandem wie dir gefunden und geerntet wurden. Du kannst behalten, was du findest.","[neutral]Es ist eine seltsame Anfrage, aber wir brauchen eine Katze, um ein Bündel Kräuter zu finden, die in der Wildnis wachsen.///[thinking]Schließlich können wir sie nicht nutzen, wenn wir nicht wissen, wo sie sind.///[neutral]Sobald du sie gefunden hast, kannst du sie behalten. Wir brauchen nur mehr Kräuter im Umlauf, das ist alles.","[neutral]Es sieht so aus, als hättest du genug Kräuter gefunden, wenn ich mir die Flecken auf deinen Pfoten anschaue. Gute Arbeit da draußen, #player_name#.///[thinking]Es liegt an dir zu entscheiden, was du damit machen möchtest. Verkaufen, benutzen oder verschenken – mir ist alles recht!"
nightharvest,.lang,tasks\lang\german\nightharvest.lang,Ernte in der Nacht,"Hast du schon von der Königin der Nacht gehört? Es ist eine seltene Blume, die nur in den Abendstunden blüht. Ich hätte gerne eine für meine Höhle.","[shocked]Meine einzige [green]Königin der Nacht[/green] ist verwelkt! Jetzt sieht der Tisch in meiner Höhle leer und traurig aus. Was soll eine Katze nur tun?///[neutral]Ich kann nachts nicht auf Wiesen gehen. Ich brauche deine Hilfe, um eine andere [green]Königin der Nacht[/green] für meinen Tisch zu finden.///[happy]Ich wäre sehr dankbar für deine Hilfe.///[neutral]Diese Blumen blühen nur in den Abendstunden, also beschränke deine Suche auf die Nacht, wenn du erfolgreich sein willst.","[happy]Oh, welch glorreiche Blüte! Ihre Blütenblätter erinnern mich an einen Winterabend. Wie kostbar ist ihr Anblick, findest du nicht auch?///[playful]Ich bin dir sehr dankbar für deine Hilfe, #player_name#. Ohne dich hätte ich keine [green]Königin der Nacht[/green], um meine Morgen zu erhellen und mich zum Lächeln zu bringen."
ofafeather,.lang,tasks\lang\german\ofafeather.lang,Vögel einer Feder,Ich suche einen Vogel mit ähnlichen Flecken wie ich. Finden Sie es sofort für mich!,"[neutral]Einige Vögel haben wunderschöne Flecken, ähnlich wie ich. Diese Vögel scheinen ziemlich selten zu sein. Eigentlich ziemlich selten.///[thinking]Finden Sie mir eins und Sie werden reichlich belohnt.","[happy]Es ist Ihnen gut gelungen, diesen außergewöhnlichen Vogel zu finden. Es ist mir gut gelungen, diese außergewöhnlichen [green]Aufgaben-Tokens[/green] für Sie zu finden."
