file,extension,path,lang_furniture_name,lang_furniture_description
catbed,.lang,furniture\lang\spanish\catbed.lang,Cama para gatos,Una cama circular con un exterior de tartán rojo y un interior de paredes suaves. Perfecta para acurrucarse a dormir la siesta del mediodía.
catplush,.lang,furniture\lang\spanish\catplush.lang,Gato de peluche,"Un pequeño juguete en forma de gato, relleno y de tela muy suave."
caverock,.lang,furniture\lang\spanish\caverock.lang,Roca de cueva,"Una roca marrón, como la que encontrarías en una cueva."
cavetable,.lang,furniture\lang\spanish\cavetable.lang,Mesa de cueva,Una mesa baja hecha con un bloque de roca de cueva.
celestiallamp,.lang,furniture\lang\spanish\celestiallamp.lang,Lámpara celestial,Una lámpara de otro mundo que emite una luz brillante. Nadie sabe de qué está hecha.
certificate,.lang,furniture\lang\spanish\certificate.lang,Certificado,"Un certificado de excelencia, otorgado solo a los gatos más destacados."
checkeredrug,.lang,furniture\lang\spanish\checkeredrug.lang,Alfombra a cuadros,Una alfombra tejida con un diseño cuadriculado negro y blanco.
chemistryset,.lang,furniture\lang\spanish\chemistryset.lang,Set de química,Varios tubos de ensayo que contienen sustancias químicas volátiles. ¡Manéjalos con cuidado!
circlerug,.lang,furniture\lang\spanish\circlerug.lang,Alfombra redonda,"Una hogareña alfombra azul, tejida en forma circular."
classicalcolumn,.lang,furniture\lang\spanish\classicalcolumn.lang,Columna clásica,Una columna alta de piedra tallada. Alguna vez sostuvo un techo pesado.
classicalpedestal,.lang,furniture\lang\spanish\classicalpedestal.lang,Pedestal clásico,Un pedestal corto tallado en el que puedes exhibir tus objetos de valor.
classicalstatue,.lang,furniture\lang\spanish\classicalstatue.lang,Estatua clásica,Estatua de piedra de una figura humana que sostiene una gran vasija.
classicalurn,.lang,furniture\lang\spanish\classicalurn.lang,Jarrón clásico,Una antigua pieza de cerámica con un intrincado dibujo pintado.
clingingivy,.lang,furniture\lang\spanish\clingingivy.lang,Hiedra trepadora,Frondosas enredaderas de hiedra que trepan por la pared.
colorfulgravel,.lang,furniture\lang\spanish\colorfulgravel.lang,Grava colorida,Una capa de diminutas piedras multicolores que parecen pertenecer a un acuario.
comfycushiongreen,.lang,furniture\lang\spanish\comfycushiongreen.lang,Cojín cómodo - verde,Un cojín cuadrado con borlas doradas hecho de una exquisita tela verde.
comfycushionpurple,.lang,furniture\lang\spanish\comfycushionpurple.lang,Cojín cómodo - morado,Un cojín cuadrado con borlas doradas hecho de una exquisita tela morada.
comfycushionred,.lang,furniture\lang\spanish\comfycushionred.lang,Cojín cómodo - rojo,Un cojín cuadrado con borlas doradas hecho de una exquisita tela roja.
comfycushionwhite,.lang,furniture\lang\spanish\comfycushionwhite.lang,Cojín cómodo - blanco,Un cojín cuadrado con borlas doradas hecho de una exquisita tela blanca.
corkblock,.lang,furniture\lang\spanish\corkblock.lang,Bloque de corcho,Un bloque rectangular hecho de corcho macizo con bordes redondeados.
corkboard,.lang,furniture\lang\spanish\corkboard.lang,Tablero de corcho,Una manera divertida de organizar tus ideas.
crystalball,.lang,furniture\lang\spanish\crystalball.lang,Bola de cristal,"Una esfera de cristal apoyada sobre una base de latón. Si te acercas, puedes ver una tenue neblina moviéndose en su interior... ¿Qué podrá significar?"
crystalclearpond,.lang,furniture\lang\spanish\crystalclearpond.lang,Estanque cristalino,"Un misterioso estanque de agua tranquila. Si te acercas, puedes ver visiones danzando sobre su superficie."
crystallamp,.lang,furniture\lang\spanish\crystallamp.lang,Lámpara de cristal,Un recipiente de cristales azules que emite una luz fría. ¿Cómo crees que funciona?
crystalsa,.lang,furniture\lang\spanish\crystalsa.lang,Cristales A,Hermosos cristales que provienen de las profundidades del mundo.
crystalsb,.lang,furniture\lang\spanish\crystalsb.lang,Cristales B,Hermosos cristales que provienen de las profundidades del mundo.
crystalsc,.lang,furniture\lang\spanish\crystalsc.lang,Cristales C,Hermosos cristales que provienen de las profundidades del mundo.
crystalsd,.lang,furniture\lang\spanish\crystalsd.lang,Cristales D,Hermosos cristales que provienen de las profundidades del mundo.
curiocompactor,.lang,furniture\lang\spanish\curiocompactor.lang,Compactador de curiosidades,Estación de trabajo. Te permite transformar tus curiosidades no deseadas en objetos útiles.
cutleryset,.lang,furniture\lang\spanish\cutleryset.lang,Juego de cubiertos,Instrumentos metálicos que se usan para comer.
cutstonetile,.lang,furniture\lang\spanish\cutstonetile.lang,Baldosa de piedra cortada,"Piedras pesadas, cortadas en cuadrados y rectángulos, y colocadas siguiendo un patrón."
dancefloor,.lang,furniture\lang\spanish\dancefloor.lang,Pista de baile,Un deslumbrante conjunto de luces coloridas dispuestas en cuadrícula. Emite un resplandor eléctrico a medida que el patrón de colores cambia.
desktoplamp,.lang,furniture\lang\spanish\desktoplamp.lang,Lámpara de escritorio,Una lámpara ajustable hecha por los humanos. Perfecta para sesiones de estudio nocturnas.
dryingflowers,.lang,furniture\lang\spanish\dryingflowers.lang,Flores secas,"Un manojo de flores atadas con un hilo, colgadas al revés para secarlas."
dryingherbs,.lang,furniture\lang\spanish\dryingherbs.lang,Hierbas secas,"Un manojo de hierbas atadas con un hilo, colgadas al revés para secarlas."
dryingleaves,.lang,furniture\lang\spanish\dryingleaves.lang,Hojas secas,"Un puñado de hojas atadas con un hilo, colgadas al revés para secarlas."
dryingweeds,.lang,furniture\lang\spanish\dryingweeds.lang,Hierbajos secos,"Un puñado de hierbajos atados con un hilo, colgados al revés para secarlos."
dumbbell,.lang,furniture\lang\spanish\dumbbell.lang,Mancuerna,¡Un par de repeticiones más y tendrás la fuerza de un león!
emptyjars,.lang,furniture\lang\spanish\emptyjars.lang,Frascos vacíos,Tres frascos de vidrio vacíos.
equationsposter,.lang,furniture\lang\spanish\equationsposter.lang,Afiche con ecuaciones,Un papel arrugado con cuentas matemáticas garabateadas en toda su superficie. ¡Esos cálculos parecen complejos!
fancyrug,.lang,furniture\lang\spanish\fancyrug.lang,Alfombra elegante,"Una alfombra amplia y elegante, hecha de un tejido naranja. ¡No la arañes!"
fireflyjar,.lang,furniture\lang\spanish\fireflyjar.lang,Frasco de luciérnagas,Un frasco de vidrio con varias luciérnagas que emiten una luz abundante. La tapa tiene agujeros para que entre aire fresco.
flowerrug,.lang,furniture\lang\spanish\flowerrug.lang,Alfombra de flores,Una alfombra de color rosa brillante con motivos florales.
flowervase,.lang,furniture\lang\spanish\flowervase.lang,Florero,Un jarrón de cerámica que contiene un bonito ramo de flores multicolores.
foldedblanket,.lang,furniture\lang\spanish\foldedblanket.lang,Manta doblada,"Una manta gruesa y calentita con un diseño de tartán azul, cubierta de lana en el reverso, doblada cuidadosamente."
footlocker,.lang,furniture\lang\spanish\footlocker.lang,Baúl de metal,Una caja metálica de estilo militar con un candado para guardar tus pertenencias.
gameboard,.lang,furniture\lang\spanish\gameboard.lang,Juego de mesa,Un juego de estrategia en curso. Es difícil saber quién va ganando.
glowingmushrooms,.lang,furniture\lang\spanish\glowingmushrooms.lang,Hongos luminiscentes,Un conjunto de hongos pálidos que provienen de las profundidades. Emiten una luz fría y extraña.
goldfishbowl,.lang,furniture\lang\spanish\goldfishbowl.lang,Pecera,Un alegre pececito dorado vive en este cuenco esférico. Se ve bastante apetitoso.
grassbed,.lang,furniture\lang\spanish\grassbed.lang,Cama de césped,Una cama mullida para dormir toda la noche.
grasspatch,.lang,furniture\lang\spanish\grasspatch.lang,Porción de césped,Un poco de césped para tu piso.
groovylamp,.lang,furniture\lang\spanish\groovylamp.lang,Lámpara de lava,El hipnótico líquido luminoso se mueve en esta lámpara gracias al calor del foco empotrado. ¡Buena onda!
gymbench,.lang,furniture\lang\spanish\gymbench.lang,Banco de gimnasio,Un aparato para hacer ejercicio.
herbalistworkbench,.lang,furniture\lang\spanish\herbalistworkbench.lang,Herbario,Estación de trabajo. Una mesa de piedra con todas las herramientas necesarias para transformar tus hierbas en pociones. Úsalo para crear brebajes poderosos.
incensesticks,.lang,furniture\lang\spanish\incensesticks.lang,Varillas de incienso,Un manojo de varillas de incienso aromáticas metidas en un frasco.
inkandquill,.lang,furniture\lang\spanish\inkandquill.lang,Pluma y tintero,Un pequeño frasco de tinta negra con una pluma blanca de ave para escribir.
investigationboard,.lang,furniture\lang\spanish\investigationboard.lang,Tablero de investigación,Un gato pasó mucho tiempo organizando toda esa información en el tablero. ¡Llevará días descifrar el contenido de sus notas!
jarofleeches,.lang,furniture\lang\spanish\jarofleeches.lang,Frasco de sanguijuelas,"Observarlas flotar es una manera estupenda de pasar el tiempo, pero ¡asegúrate de que el tapón esté bien colocado!"
journal,.lang,furniture\lang\spanish\journal.lang,Diario,Un pequeño libro con encuadernación de cuero y páginas en blanco.
junkpile,.lang,furniture\lang\spanish\junkpile.lang,Montón de basura,"Tiras tus cosas en la pila que tienes en un rincón, ¿eh? ¡Qué desastre!"
lionheadfountain,.lang,furniture\lang\spanish\lionheadfountain.lang,Fuente de león,Una fuente de piedra tallada con la forma de un feroz león.
litterbox,.lang,furniture\lang\spanish\litterbox.lang,Caja de arena,"No es el objeto de decoración más glamoroso, pero es práctico."
logtable,.lang,furniture\lang\spanish\logtable.lang,Mesa de tronco,Una larga mesa hecha con un tronco lijado.
marbletile,.lang,furniture\lang\spanish\marbletile.lang,Baldosa de mármol,Mármol cortado y colocado en espinapez para darle un aspecto elegante.
messybed,.lang,furniture\lang\spanish\messybed.lang,Cama desordenada,Alguien no hizo la cama esta mañana. ¡Qué desorden!
molefurnace,.lang,furniture\lang\spanish\molefurnace.lang,Horno topo,"Un horno de piedra con un escudo en forma de topo, perfecto para fundir metal."
moss,.lang,furniture\lang\spanish\moss.lang,Musgo,Musgo húmedo que crece en la pared.
mossbed,.lang,furniture\lang\spanish\mossbed.lang,Cama de musgo,Un rectángulo de musgo con una almohada mullida hecha de plantas.
mug,.lang,furniture\lang\spanish\mug.lang,Taza,Una taza de cerámica hecha para manos humanas. ¿No sería divertido empujarla desde una mesa?
mushroomshelves,.lang,furniture\lang\spanish\mushroomshelves.lang,Hongos estantes,Enormes estantes de hongos que pueden crecer en tu pared.
mushroomstoolblue,.lang,furniture\lang\spanish\mushroomstoolblue.lang,Hongo taburete (azul),Un hongo grande y moteado con el tamaño adecuado para usarlo como asiento.
mushroomstoolgreen,.lang,furniture\lang\spanish\mushroomstoolgreen.lang,Hongo taburete (verde),Un hongo grande y moteado con el tamaño adecuado para usarlo como asiento.
mushroomstoolred,.lang,furniture\lang\spanish\mushroomstoolred.lang,Hongo taburete (rojo),Un hongo grande y moteado con el tamaño adecuado para usarlo como asiento.
mushroomtable,.lang,furniture\lang\spanish\mushroomtable.lang,Hongo mesa,¡Este hongo es enorme! ¿De dónde crees que provenga? Es lo suficientemente bajo y amplio para usarlo como mesa.
mysticpedestal,.lang,furniture\lang\spanish\mysticpedestal.lang,Pedestal místico,Un pedestal circular cubierto con un grueso mantel morado.
naturalstonetile,.lang,furniture\lang\spanish\naturalstonetile.lang,Baldosa de piedra natural,"Grandes piedras naturales, extraídas de un río y colocadas con habilidad siguiendo un diseño orgánico."
paintingblank,.lang,furniture\lang\spanish\paintingblank.lang,Pintura: En blanco,Un lienzo en blanco.
paintingexquisite,.lang,furniture\lang\spanish\paintingexquisite.lang,Pintura: Elegante,Un retrato majestuoso de un gato distinguido.
paintingflock,.lang,furniture\lang\spanish\paintingflock.lang,Pintura: Bandada,Un cuadro de varias aves volando en formación entre las nubes.
paintinghorrific,.lang,furniture\lang\spanish\paintinghorrific.lang,Pintura: Espantosa,Una pintura muy normal de un bosque muy normal en la noche.
paintingmodern,.lang,furniture\lang\spanish\paintingmodern.lang,Pintura: Moderna,"Cuadrados de varios tonos de amarillo, rojo y azul en un lienzo rectangular."
paintingserene,.lang,furniture\lang\spanish\paintingserene.lang,Pintura: Serenidad,Un lienzo amplio con la ilustración de un lago de montaña rodeado de pinos.
paintingsmallabstract,.lang,furniture\lang\spanish\paintingsmallabstract.lang,Pintura: Pequeño abstracto,Un cuadro pequeño con varias manchas de color brillante.
paintingsmalllandscape,.lang,furniture\lang\spanish\paintingsmalllandscape.lang,Pintura: Pequeño paisaje,Un cuadro pequeño de una playa.
paintingsmallportrait,.lang,furniture\lang\spanish\paintingsmallportrait.lang,Pintura: Retrato pequeño,Un cuadro diminuto de un gato gris.
paintingsplatter,.lang,furniture\lang\spanish\paintingsplatter.lang,Pintura: Salpicadura,Un lienzo con varias salpicaduras de colores.
painttubes,.lang,furniture\lang\spanish\painttubes.lang,Tubos de pintura,Varios tubos llenos de pintura fresca.
petfoodbowl,.lang,furniture\lang\spanish\petfoodbowl.lang,Comedero para mascotas,"Un tazón de cerámica, lleno hasta el borde con comida para gatos."
petwaterbowl,.lang,furniture\lang\spanish\petwaterbowl.lang,Bebedero para mascotas,"Un tazón de cerámica, lleno hasta el borde con agua fresca."
pickaxe,.lang,furniture\lang\spanish\pickaxe.lang,Pico,Una herramienta pesada de minería que puedes exhibir con orgullo en tu pared. ¡Se ve flamante!
plaidrunner,.lang,furniture\lang\spanish\plaidrunner.lang,Tapete a cuadros,Una alfombra larga con un diseño de tartán verde. ¡Bastante festivo!
playmat,.lang,furniture\lang\spanish\playmat.lang,Alfombra de juego,"Una alfombra colorida con un estampado, diseñada para jugar sobre ella."
plushrug,.lang,furniture\lang\spanish\plushrug.lang,Alfombra de peluche,Una pequeña alfombra compuesta de gruesas fibras rosadas que se sienten muy suaves al tacto.
postednote,.lang,furniture\lang\spanish\postednote.lang,Nota publicada,"Lo que sea que diga esta nota, ¡parece muy importante!"
pouf,.lang,furniture\lang\spanish\pouf.lang,Asiento puff,Un taburete ovalado y suave hecho de un tejido grueso.
preycache,.lang,furniture\lang\spanish\preycache.lang,Cofre con presas,Un cofre rebosante de presas recién cazadas.
recordplayer,.lang,furniture\lang\spanish\recordplayer.lang,Tocadiscos,"Un antiguo tocadiscos que, sorprendentemente, aún funciona. Si encuentras un disco, quizás podrías escucharlo."
redtome,.lang,furniture\lang\spanish\redtome.lang,Tomo rojo,Un extraño libro rojo con una portada de aspecto inquietante. Está escrito en un idioma que no puedes descifrar.
rocka,.lang,furniture\lang\spanish\rocka.lang,Roca A,Una piedra gris. Es bastante pesada.
rockb,.lang,furniture\lang\spanish\rockb.lang,Roca B,Una piedra gris. Es bastante pesada.
rockc,.lang,furniture\lang\spanish\rockc.lang,Roca C,Una piedra gris. Es bastante pesada.
rockd,.lang,furniture\lang\spanish\rockd.lang,Roca D,Una piedra gris. Es bastante pesada.
rubbermat,.lang,furniture\lang\spanish\rubbermat.lang,Tapete de goma,"Un tapete oscuro hecho de una goma delgada. Perfecto para limpiarse el barro de las patas, pero nada más."
scatteredpapers,.lang,furniture\lang\spanish\scatteredpapers.lang,Papeles desordenados,"Estos papeles solían estar perfectamente ordenados, ¡pero alguien los tiró y no se molestó en juntarlos!"
scratchedrunes,.lang,furniture\lang\spanish\scratchedrunes.lang,Runas rasguñadas,Figuras enigmáticas que fueron arañadas en el suelo.
scratchingpost,.lang,furniture\lang\spanish\scratchingpost.lang,Rascador,¡Entrena tus habilidades! ¡Afila tus garras! Este poste recubierto de alfombra es perfecto para aprender trucos nuevos.
seasonalplantshort,.lang,furniture\lang\spanish\seasonalplantshort.lang,Planta de temporada - baja,Una maceta de barro pequeña con una planta de temporada. Gira este objeto para cambiar el tipo de planta.
seasonalplanttall,.lang,furniture\lang\spanish\seasonalplanttall.lang,Planta de temporada - alta,Una maceta de barro grande con una planta de temporada. Gira este objeto para cambiar el tipo de planta.
seedbag,.lang,furniture\lang\spanish\seedbag.lang,Bolsa de semillas,Una bolsa de arpillera llena de semillas de flores.
spiketrap,.lang,furniture\lang\spanish\spiketrap.lang,Trampa de púas,Un aparato peligroso que funciona por sí solo. ¡Manéjalo con cuidado!
stalagmitea,.lang,furniture\lang\spanish\stalagmitea.lang,Estalagmita A,"Una larga aguja rocosa, resultado de muchos años de minerales acumulados por el goteo del agua."
stalagmiteb,.lang,furniture\lang\spanish\stalagmiteb.lang,Estalagmita B,"Una larga aguja rocosa, resultado de muchos años de minerales acumulados por el goteo del agua."
stalagmitec,.lang,furniture\lang\spanish\stalagmitec.lang,Estalagmita C,"Una larga aguja rocosa, resultado de muchos años de minerales acumulados por el goteo del agua."
stalagmited,.lang,furniture\lang\spanish\stalagmited.lang,Estalagmita D,"Una larga aguja rocosa, resultado de muchos años de minerales acumulados por el goteo del agua."
starryrug,.lang,furniture\lang\spanish\starryrug.lang,Alfombra estrellada,"Una alfombra redonda con un diseño mágico, que se asemeja al cielo nocturno."
stonebed,.lang,furniture\lang\spanish\stonebed.lang,Cama de piedra,"Si te gusta dormir en una superficie dura, esta cama es ideal para ti."
stonebookshelf,.lang,furniture\lang\spanish\stonebookshelf.lang,Librero de piedra,Estantes tallados en un bloque de piedra que sostienen varios libros y baratijas.
stonedais,.lang,furniture\lang\spanish\stonedais.lang,Estrado de piedra,Una plataforma baja hecha de piedras de color amarillo grisáceo.
stoneendtable,.lang,furniture\lang\spanish\stoneendtable.lang,Mesa auxiliar de piedra,Una mesita baja de piedra. Tiene un estante tallado en un costado.
stoneshelves,.lang,furniture\lang\spanish\stoneshelves.lang,Estantes de piedra,Dos pequeños estantes flotantes hechos de roca plana.
stonestool,.lang,furniture\lang\spanish\stonestool.lang,Taburete de piedra,"Una piedra para sentarse, traída de un río cercano. Lo cierto es que no es el asiento más cómodo, pero lo que le falta en practicidad lo compensa en estilo."
stonetable,.lang,furniture\lang\spanish\stonetable.lang,Mesa de piedra,"Una mesa improvisada con varias piedras pesadas. Por suerte, está bien nivelada."
stonetray,.lang,furniture\lang\spanish\stonetray.lang,Bandeja de piedra,Una bandeja delgada y fría hecha de piedra.
storagecrate,.lang,furniture\lang\spanish\storagecrate.lang,Caja de almacenamiento,¿Necesitas un lugar práctico para guardar todos tus objetos? ¡Aquí lo tienes! Una caja de madera discreta.
stretchmat,.lang,furniture\lang\spanish\stretchmat.lang,Tapete para estiramiento,"Una larga esterilla de goma color verde claro, el lugar perfecto para hacer tu rutina de estiramientos por la mañana. ¡Mantente flexible!"
studydesk,.lang,furniture\lang\spanish\studydesk.lang,Escritorio,Un escritorio de madera oscura con muchos cajones.
stumpseat,.lang,furniture\lang\spanish\stumpseat.lang,Asiento de tocón,Un asiento bajo hecho con el tocón de un roble.
tacticiansmap,.lang,furniture\lang\spanish\tacticiansmap.lang,Mapa del estratega,Un mapa de tela desgastado con varias fichas de colores puestas cuidadosamente sobre su superficie.
tapestry,.lang,furniture\lang\spanish\tapestry.lang,Tapiz,"Una representación antigua de una batalla importante, tejida en lana."
templeglyphs,.lang,furniture\lang\spanish\templeglyphs.lang,Glifos del templo,Extraños símbolos que puedes tallar en la pared. Gira este objeto para cambiar la apariencia del glifo.
thatchedbed,.lang,furniture\lang\spanish\thatchedbed.lang,Cama de palmera,Un catre de bambú cubierto con hojas de palmera.
towelhook,.lang,furniture\lang\spanish\towelhook.lang,Gancho para toallas,Tres ganchos de madera. Una toalla blanca cuelga en el del medio.
toyball,.lang,furniture\lang\spanish\toyball.lang,Pelota de juguete,Una pelotita de plástico recubierta de tela. Perfecta para golpear y perseguir.
toymouse,.lang,furniture\lang\spanish\toymouse.lang,Ratón de juguete,Un ratoncito de tela con una cola de color neón. Huele ligeramente a hierba gatera.
toyrope,.lang,furniture\lang\spanish\toyrope.lang,Cuerda de juguete,Una soga gruesa hecha a partir de varias cuerdas delgadas y coloridas.
treasurechest,.lang,furniture\lang\spanish\treasurechest.lang,Cofre del tesoro,¡El mueble perfecto para guardar tus objetos de valor! Utilízalo para acceder a tu almacenamiento.
treasurehoardbed,.lang,furniture\lang\spanish\treasurehoardbed.lang,Cama del tesoro acumulado,"¡Oro! ¡Gemas! Todas las riquezas que un gato codicioso pueda desear, acumuladas en una enorme pila. Duerme sobre tu tesoro para protegerlo de aquellos que intenten robártelo."
troutplaque,.lang,furniture\lang\spanish\troutplaque.lang,Placa con trucha,Presumir tu destreza en la pesca nunca se vio tan bien.
twinbed,.lang,furniture\lang\spanish\twinbed.lang,Cama infantil,"Una cama con un diseño llamativo, hecha para un niño humano."
wackybouquet,.lang,furniture\lang\spanish\wackybouquet.lang,Ramo de flores loco,"Una loca mezcla de las plantas más insólitas que puedas imaginar. Las flores parecen unos inquietantes ojos, observando cada uno de tus movimientos..."
wackydrawing,.lang,furniture\lang\spanish\wackydrawing.lang,Dibujo loco,"Alguien (¡o algo!) dibujó esto para ti. Sería grosero tirarlo, ¿no crees?"
wackylamp,.lang,furniture\lang\spanish\wackylamp.lang,Lámpara loca,Una lámpara inquietante con un foco en forma de ojo que emite un resplandor tenue.
wackypainting,.lang,furniture\lang\spanish\wackypainting.lang,Pintura loca,"Parece una espiral ovalada, rodeada de espinas. Los colores del dibujo cambian sutilmente con el tiempo."
wackyrug,.lang,furniture\lang\spanish\wackyrug.lang,Alfombra loca,Una alfombra asimétrica que se asemeja a tentáculos arrastrándose.
wackywhiskersboard,.lang,furniture\lang\spanish\wackywhiskersboard.lang,Juego de Bigotes Locos,¡Disfruta del exitoso juego Bigotes Locos en cualquier lugar con este práctico tablero portátil!
wallcalendar,.lang,furniture\lang\spanish\wallcalendar.lang,Calendario de pared,Todo gato organizado debe tener uno de estos para anotar las próximas fechas importantes.
wallclock,.lang,furniture\lang\spanish\wallclock.lang,Reloj de pared,Un reloj para colgar en la pared que muestra la hora actual.
wallcrystals,.lang,furniture\lang\spanish\wallcrystals.lang,Cristales de pared,"Cristales de cuarzo rosa que pueden fijarse en superficies verticales, como las paredes de tu guarida."
wallemblem,.lang,furniture\lang\spanish\wallemblem.lang,Emblema de pared,¡Exhibe con orgullo tu emblema actual en la pared!
wallflower,.lang,furniture\lang\spanish\wallflower.lang,Alhelí,Una pequeña flor naranja que crece en las paredes.
wallthorns,.lang,furniture\lang\spanish\wallthorns.lang,Espinas de pared,Una desagradable planta trepadora cubierta de gruesas espinas.
wateringcan,.lang,furniture\lang\spanish\wateringcan.lang,Regadera,"Una regadera azul, perfecta para la jardinería."
welcomemat,.lang,furniture\lang\spanish\welcomemat.lang,Felpudo,Un tapete de fibra de coco con un atractivo diseño. 
whiterunner,.lang,furniture\lang\spanish\whiterunner.lang,Tapete blanco,Una larga alfombra blanca y rectangular para tu piso.
wildflowers,.lang,furniture\lang\spanish\wildflowers.lang,Flores silvestres,¡Un conjunto de flores que crecen directamente del suelo! Gira este objeto para cambiar el tipo de flores silvestres.
wildwoodmonument,.lang,furniture\lang\spanish\wildwoodmonument.lang,Monumento de Wildwood,Un recordatorio que conmemora la restauración de Wildwood.
windowlarge,.lang,furniture\lang\spanish\windowlarge.lang,Ventana (grande),Una ventana grande que deja entrar un poco de luz.
windowsmall,.lang,furniture\lang\spanish\windowsmall.lang,Ventana (pequeña),Una ventana muy pequeña que deja entrar un poco de luz.
winterlights,.lang,furniture\lang\spanish\winterlights.lang,Luces de invierno,Un conjunto de luces parpadeantes del festival de invierno. ¡Cuántos colores!
woodbookshelf,.lang,furniture\lang\spanish\woodbookshelf.lang,Librero de madera,Un librero alto de madera lustrada.
woodbowl,.lang,furniture\lang\spanish\woodbowl.lang,Cuenco de madera,Un cuenco hecho de madera.
woodchair,.lang,furniture\lang\spanish\woodchair.lang,Silla de madera,Una silla artesanal que no desentonaría en una acogedora cabaña.
woodendtable,.lang,furniture\lang\spanish\woodendtable.lang,Mesa auxiliar de madera,Una mesita hecha de madera lustrada con un cajón deslizable.
woodplate,.lang,furniture\lang\spanish\woodplate.lang,Plato de madera,Un plato hecho de madera.
woodtable,.lang,furniture\lang\spanish\woodtable.lang,Mesa de madera,Una mesa artesanal que no desentonaría en una acogedora cabaña.
woodwardrobe,.lang,furniture\lang\spanish\woodwardrobe.lang,Armario de madera,Un mueble de madera donde guardar tus cosas.
workoutmat,.lang,furniture\lang\spanish\workoutmat.lang,Tapete para ejercicio,Tapete de espuma con forma de rompecabezas. La superficie perfecta para hacer ejercicio.
wovenrug,.lang,furniture\lang\spanish\wovenrug.lang,Alfombra tejida,Un gato pasó mucho tiempo tejiendo con cuidado las gruesas hebras para crear esta pequeña alfombra.
yarnball,.lang,furniture\lang\spanish\yarnball.lang,Bola de estambre,Una irresistible bola de estambre.
