file,extension,path,lang_mail_subject,lang_mail_content_header,lang_mail_content_body,lang_mail_content_signature
congratulationsfromgarlic,.lang,mail\lang\german\congratulationsfromgarlic.lang,Danke für die Einladung,"Hallo, ich bins wieder,","das war eine tolle Hochzeit. Danke für die Einladung, ich hatte eine großartige Zeit. Ihr beide seht sehr süß zusammen aus, ich bin froh, dass ihr euch gefunden habt. Ach ja, ich habe vergessen, euch euer Hochzeitsgeschenk bei der Zeremonie zu geben. Hier ist es und Entschuldigung dafür.",#npc_name_garlic#
emberredrose,.lang,mail\lang\german\emberredrose.lang,Rote Rose,Neuer Artikel auf Lager!,"Rote Rosen sind jetzt im Laden erhältlich! Diese romantischen Blumen sind eine großartige Möglichkeit, deine wahren Gefühle auszudrücken. Verschenke sie an eine besondere Katze, wenn du mit ihr ausgehen möchtest. Daumen drücken, dass sie sie annimmt!",Viel Glück! – #npc_name_ember#
embershinytrinket,.lang,mail\lang\german\embershinytrinket.lang,Glänzendes Schmuckstück,Neuer Artikel auf Lager!,"Ich habe gerade eine Lieferung von glänzenden Schmuckstücken erhalten, wunderschöne goldene Ringe, die von verliebten Katzen sehr geschätzt werden! Traditionell muss man der Katze seines Herzens einen solchen Ring schenken, wenn man um ihre Pfote anhalten möchte.",Jetzt verfügbar! – #npc_name_ember#
fanmailzephyr,.lang,mail\lang\german\fanmailzephyr.lang,Du kennst Zephyr?,"Ich habe gehört, du kennst Zephyr im wirklichen Leben?","Wow, das ist super cool! Ich kann nicht glauben, dass du tatsächlich mit Zephyr sprichst und so. Ich bin so neidisch! Wie ist Zephyr so? Du MUSST alle Details erzählen! Warte, bis der Rest des Clubs davon hört. Die werden ausrasten!",- Präsident des Zephyr-Fanclubs
fanmailzephyrdating,.lang,mail\lang\german\fanmailzephyrdating.lang,NeEEEeeEEeinNN!,Machst du Witze??,"Du bist mit Zephyr zusammen?? NeeeEEEin! Das Universum ist so UNFAIR! Ich sollte mit Zephyr zusammen sein. Ich habe alle Merchandise-Artikel und alle Magazine und alles. Argh, das ist so schrecklich!! Ich bin SO SAUER.","Ein weinender Fan (ich hoffe, du bist glücklich)"
festivaltoday,.lang,mail\lang\german\festivaltoday.lang,Das heutige Fest!,"Guten Tag, #player_name#!","Heute ist das Frühlingsfest! Ich hoffe, du wirst uns auf dem Festplatz nördlich der Stadt für die Feierlichkeiten besuchen. Es gibt Spiele zu spielen und Preise zu gewinnen! Ich habe einige kostenlose Fest-Tokens diesem Brief beigefügt. Wir sehen uns dort!",– #npc_name_coco#
gardeningintroalabaster,.lang,mail\lang\german\gardeningintroalabaster.lang,Gartenarbeit ...,"Hallo, #player_name#!","Ich habe mich gefreut, dass ich Sie vorhin kennenlernen durfte. Ich wollte Ihnen ein paar Samen schenken, damit Sie einmal Gartenarbeit mit Ihren eigenen Pfoten ausprobieren können. Es kann sehr viel Spaß machen (und lohnend sein!)",Mit freundlichen Grüßen - #npc_name_alabaster#
glimmerdonated15curios,.lang,mail\lang\german\glimmerdonated15curios.lang,Eine wahre Ausstellung,#player_name# ...,"Oh, ho ho! Das Museum nimmt endlich Gestalt an, nicht zuletzt dank deiner Bemühungen! Du hast 15 Kuriositäten gespendet. Gut gemacht!","~ #npc_name_glimmer#, Museumsleitung"
glimmerdonated1curio,.lang,mail\lang\german\glimmerdonated1curio.lang,Deine Spende,#player_name# ...,"Vielen Dank für deine Spende der Kuriositäten! Das Museum ist immer auf der Suche nach weiteren interessanten Ausstellungsstücken. Wenn du weitere findest, bring sie bitte zu mir. Anbei findest du ein kleines Zeichen meiner Wertschätzung.","~ #npc_name_glimmer#, Museumsleiteung"
glimmerdonated25curios,.lang,mail\lang\german\glimmerdonated25curios.lang,Die Fertigstellung naht,"#player_name#,","25 Kuriositäten werden nun stolz in der Galerie des Museums ausgestellt! Es sind nur noch 5 nicht identifizierte übrig. Ich halte eine großzügige Belohnung für dich bereit, solltest du es schaffen, die letzten paar Kuriositäten aufzuspüren und zu spenden ...","~ #npc_name_glimmer#, Museumsleitung"
glimmerdonated30curios,.lang,mail\lang\german\glimmerdonated30curios.lang,Galerie vollständig!,#player_name# ...,"Nochmals vielen Dank für deine großzügigen Spenden. Alle 30 Kuriositäten werden nun stolz in der Museumsgalerie ausgestellt. Schaue jederzeit vorbei, wenn du sie sehen möchtest.","~ #npc_name_glimmer#, Museumsleitung"
glimmerdonated5curios,.lang,mail\lang\german\glimmerdonated5curios.lang,Spendenaktion,#player_name# ...,"Bei den Sternen! Wenn ich mich nicht irre, hast du 5 Kuriositäten an das Museum gespendet. Wir wissen es zu schätzen, dass du deine lokalen Institutionen weiterhin unterstützt. Denk an uns, wenn du weitere Kuriositäten entdeckst.","~ #npc_name_glimmer#, Museumsleitung"
glimmermuseumintro,.lang,mail\lang\german\glimmermuseumintro.lang,Museum,"#player_name#,","ich bin es, #npc_name_glimmer#, die angesehene Museumsleitung! Wenn du irgendwelche Kuriositäten findest, bring sie bitte an den Kuriositäten-Identifikationstisch im Museum, um sie zu identifizieren. Bitte erwäge auch, deine Kuriositäten zu spenden!",Neugierde ist alles! ~ #npc_name_glimmer#
greatfriendalabaster,.lang,mail\lang\german\greatfriendalabaster.lang,Aus dem Garten,"Hallo, #player_name#!","Ich habe meinen Nachmittag damit verbracht, Kräuter anzupflanzen und hatte am Ende des Tages ein paar extra Samen übrig. Da dachte ich an Sie! Können Sie sie gebrauchen? So oder so gehören sie jetzt Ihnen.",Mit freundlichen Grüßen - #npc_name_alabaster#
greatfriendelli,.lang,mail\lang\german\greatfriendelli.lang,Hey Lieblingskatze!,"Hallo, #player_name#!","Als ich heute Morgen aufgewacht bin, konnte ich nicht aufhören, an alles zu denken, was du für mich getan hast. Du warst wirklich super großartig und ich fühle mich geehrt, mit dir befreundet zu sein. Ich hoffe, dass wir noch lange befreundete Katzen bleiben werden.",Deine befreundete Katze #npc_name_elli#
greatfriendember,.lang,mail\lang\german\greatfriendember.lang,"Hallo, befreundete Katze!",Wie geht es dir?,"Ich wollte nur sagen, dass du eine spektakuläre Katze bist. Du bist so nett und erhelltst meinen Tag jedes Mal, wenn ich dich vorbeilaufen sehe. Du hast eine einzigartige Art, dass sich jede Katze sehr besonders fühlt, wenn du mit ihr sprichst. Es ist sehr bewundernswert.","Mit freundlichen Grüßen, #npc_name_ember#"
greatfriendjag,.lang,mail\lang\german\greatfriendjag.lang,"Danke, #player_name#.","#player_name#,","ich habe lange überlegt, ob ich diesen Brief schreiben soll, aber es muss einfach gesagt werden. Danke, dass du dir die Zeit genommen hast, mich kennenzulernen.",Ich schätze dich! – Jag
greatfriendphantom,.lang,mail\lang\german\greatfriendphantom.lang,Hey Kumpel!,Wie läuft's?,"Ich wollte dir schreiben, um dir mitzuteilen, wie sehr ich deine Freundschaft schätze. Du warst so nett zu mir. Ich wünschte, jede Katze auf der ganzen Welt wäre genauso wie du.",Deine befreundete Katze! #npc_name_phantom#
happybirthdayfromalabaster,.lang,mail\lang\german\happybirthdayfromalabaster.lang,Geburtstagswünsche,"Liebste Katze #player_name#,","heute ist Ihr Geburtstag, nicht wahr? Ich hoffe, Sie haben einen ausgezeichneten Tag voller Entspannung und guter Gesellschaft. Die besten Wünsche zu diesem feierlichen Anlass.","Hochachtungsvoll, #npc_name_alabaster#"
happybirthdayfrombob,.lang,mail\lang\german\happybirthdayfrombob.lang,Dein Tag!,"Hallo, #player_name#!","An deinem Geburtstag ist alles ein bisschen heller als sonst. Es ist keine schlechte Idee, sich Zeit zu nehmen, um eine so großartige Katze wie dich zu feiern!",Deine befreundete Nachbarskatze #npc_name_bob#
happybirthdayfrombuttercup,.lang,mail\lang\german\happybirthdayfrombuttercup.lang,Besonderer Tag,"Hallo,","ist heute dein Geburtstag? Ich hoffe, dieser Brief ist am richtigen Tag angekommen. Ich habe versucht, es zu timen und ich denke, ich habe es richtig gemacht, aber man weiß ja nie. Es macht mich nervös. Wie auch immer. Wann immer du das bekommst, hoffe ich, dass du einen schönen Geburtstag hast.",Von #npc_name_buttercup#
happybirthdayfromcharlotte,.lang,mail\lang\german\happybirthdayfromcharlotte.lang,Geburtstagskarte,"Hallo,","ich habe gehört, dass heute dein Geburtstag ist. Wenn das stimmt, hoffe ich, dass es ein guter Tag wird. Eine so einzigartige Katze wie du verdient es, ab und zu einen Tag ganz für sich zu haben.",Von #npc_name_charlotte#
happybirthdayfromelli,.lang,mail\lang\german\happybirthdayfromelli.lang,Dein Geburtstag!,"Hallo, #player_name#!","Es ist dein Geburtstag! Natürlich wusstest du das wahrscheinlich schon. Lass mich wissen, wenn die Torte serviert wird, und ich sorge dafür, dass ich da bin. Haha, nur ein Scherz! Aber im Ernst, ich wünsche dir den glücklichsten Geburtstag.",Mach es zu einem guten Geburtstag! – #npc_name_elli#
happybirthdayfromember,.lang,mail\lang\german\happybirthdayfromember.lang,Es ist dein Geburtstag!,"Hallo, #player_name#!","Habe ich richtig gehört, dass heute dein Geburtstag ist? Ich weiß, es ist ein bisschen altmodisch, aber ich dachte, ich schicke dir eine schöne Karte, um dir alles Gute zu wünschen. Wie auch immer, wir sehen uns.",Deine befreundete Katze #npc_name_ember#
happybirthdayfromgarlic,.lang,mail\lang\german\happybirthdayfromgarlic.lang,Heute ist der Tag,"Oh hey,","ich habe vergessen, was ich schreiben wollte. Etwas über deinen Geburtstag. Ich wusste schon was, aber als ich mich hingesetzt habe, um zu schreiben, war mein Kopf leer. Ich sag dann einfach mal: alles Gute zum Geburtstag.",– #npc_name_garlic#
happybirthdayfromglimmer,.lang,mail\lang\german\happybirthdayfromglimmer.lang,Ein Glückstag,"Verehrte Katze #player_name#,","an deinem Geburtstag mögen dir die Sterne große Kraft verleihen, um alles zu erreichen, was du dir wünschst. Es wird uns allen als Segen dienen!",~ #npc_name_glimmer#
happybirthdayfromjag,.lang,mail\lang\german\happybirthdayfromjag.lang,Geburtstag von #player_name#,"Hallo,","es ist dein Geburtstag. Ich hoffe, er bringt dir Glück und Freude. Lass mich wissen, ob ich heute etwas für dich tun kann.",Herzliche Grüße - #npc_name_jag#
happybirthdayfromkrampy,.lang,mail\lang\german\happybirthdayfromkrampy.lang,Euphorie!,"An meine Lieblingskatze,","mit großer Freude wünsche ich dir alles Gute zum Geburtstag, #player_name#! Möge dein nächstes Jahr genauso großartig sein wie das letzte. Oder wenn das letzte Jahr nicht so toll war, möge dein nächstes Jahr noch besser werden.",Mit freundlichen Grüßen - #npc_name_krampy#
happybirthdayfromlainey,.lang,mail\lang\german\happybirthdayfromlainey.lang,Beste Wünsche,"#player_name#,","ich wusste nicht, was ich dir zum Geburtstag schenken sollte, deshalb habe ich einfach eine Karte geschickt. Gefällt sie dir? Hoffentlich fällt mir noch etwas ein. Ich werde es dich wissen lassen, wenn ich dich das nächste Mal sehe, falls ich etwas herausgefunden habe.",Alles Gute! – #npc_name_lainey#
happybirthdayfromphantom,.lang,mail\lang\german\happybirthdayfromphantom.lang,Partyzeit!,"Hallo, #player_name#,","hast du heute viele Pläne? Es ist dein Geburtstag, also denke ich, dass du ziemlich beschäftigt sein wirst. Wenn du Zeit findest, komm vorbei, ich habe ein Geschenk für dich vorbereitet.",Kein Stress! Von #npc_name_phantom#
happynewyear2,.lang,mail\lang\german\happynewyear2.lang,Frohes neues Jahr!,"Frohes neues Jahr, #player_name#!","Wir haben es endlich durch den bitteren Winter geschafft und können nun das brandneue Jahr begrüßen! Lassen Sie uns dieses Jahr zu einem guten machen, #player_name#. Es gibt noch so viel zu tun, um unser Zuhause hier in Wildwood zu einem noch besseren Ort zum Leben zu machen.",Mit freundlichen Grüßen - #npc_name_coco#
happynewyear3,.lang,mail\lang\german\happynewyear3.lang,Der Frühling ist gekommen!,"Frohes neues Jahr, #player_name#!","Der Schnee ist geschmolzen und der Frühling ist wieder da! Ein ganzes neues Jahr liegt vor uns. Welche Pläne haben Sie, um dieses Jahr zum besten Jahr zu machen? Ich habe einige persönliche Vorsätze gefasst, die ich in den nächsten Monaten umsetzen möchte.",Mit freundlichen Grüßen - #npc_name_coco#
happynewyear4,.lang,mail\lang\german\happynewyear4.lang,Jahr 4!,"Frohes neues Jahr, #player_name#!","Nach einem harten Winter ist die Sonne endlich wieder da und jede Katze freut sich über ihre Rückkehr. Es ist Zeit, unsere Vorräte aufzufüllen, die während der langen Schneemonate aufgebraucht wurden. Machen Sie es zu einem großartigen Jahr, #player_name#.",Mit freundlichen Grüßen - #npc_name_coco#
happynewyear5,.lang,mail\lang\german\happynewyear5.lang,Ein weiteres Jahr ist da!,"Frohes neues Jahr, #player_name#!","Lasst uns alle dankbar sein, dass wir ein weiteres Jahr hier zusammen leben dürfen. Wildwood hat noch nie so gut ausgesehen. Nun, auf ein weiteres tolles Jahr!",Mit freundlichen Grüßen - #npc_name_coco#
hateletterfromchamp,.lang,mail\lang\german\hateletterfromchamp.lang,Was ist los?,"#player_name#,","ich weiß nicht, was dein Problem ist, aber wenn du ein Problem mit mir hast, dann habe ich ein Problem mit dir. Ich bin keine Katze, bei der du dich unbeliebt machen solltest. Reiß dich mal schnell zusammen und hör auf, so egoistisch zu sein!",#npc_name_champ#
hateletterfromcharlotte,.lang,mail\lang\german\hateletterfromcharlotte.lang,Abstand halten.,#player_name#.,"Wenn du dich nicht zurückhältst, werde ich dein Leben zur Hölle machen. Verstanden? Präge dir das ein. Ich wünsche dir einen schrecklichen Tag.",Deine verfeindete Katze #npc_name_charlotte#
invitationbob,.lang,mail\lang\german\invitationbob.lang,"Hallo, Nachbarskatze!","Hallo, #player_name#,","Wenn du jemals einsam bist, kannst du gerne bei mir vorbeischauen und wir können uns unterhalten. Ich lasse die Haustür für dich unverschlossen. Du bist jederzeit in meinem Haus willkommen.",– Deine befreundete Nachbarskatze #npc_name_bob#
invitationfliss,.lang,mail\lang\german\invitationfliss.lang,Willst du vorbeikommen?,"Hallo,","ich weiß, dass du sehr beschäftigt bist, aber ich wollte dich einladen, bei mir vorbeizukommen, um abzuhängen, wenn du mal Zeit hast. Ich bin sicher, dass #npc_name_lainey# nichts dagegen hätte, Besuch zu bekommen. Ich werde versuchen, vorher die Höhle etwas aufzuräumen.",#npc_name_fliss#
invitationspark,.lang,mail\lang\german\invitationspark.lang,Möchtest du spielen?,"Hey, #player_name#!","Willst du zu mir kommen und meine Käfersammlung sehen? Wir können Brettspiele spielen oder vielleicht Fangen. Wir müssen leise sein, sonst könnten wir #npc_name_ember# verärgern, aber du solltest bald vorbeikommen.",– #npc_name_spark#
justbecausespark,.lang,mail\lang\german\justbecausespark.lang,Einfach so!,"Hallo hallo, #player_name#!","Ich habe dir ein Geschenk besorgt! Ich hoffe, es gefällt dir. Kein besonderer Grund, aber ich dachte, du könntest es gebrauchen. Viel Spaß damit!",In Liebe - #npc_name_spark#
kittendrawing,.lang,mail\lang\german\kittendrawing.lang,Meine Kunst,Ich habe das für dich gemacht.,(#player_name# und ich),In Liebe #npc_name_kittentwo#!
kittensolderalabaster,.lang,mail\lang\german\kittensolderalabaster.lang,Verloren & Gefunden,"Guten Tag, #player_name#!","Ich glaube, eines Ihrer Kätzchen hat gestern im Garten gespielt. Es muss diesen Stein fallen gelassen haben. Ich bin sicher, dass es am Boden zerstört wäre, wenn der Stein verloren gegangen wäre, deshalb befestige ich ihn an diesem Paket.",Mit Respekt - #npc_name_alabaster#
kittensoldercoco,.lang,mail\lang\german\kittensoldercoco.lang,Neugierige Kätzchen,"Hallo, #player_name#!","Als ich neulich Abend spazieren ging, wurde ich von einigen Ihrer Kinder angesprochen und mit Fragen zu meinem Job bombardiert. Ich möchte Sie ermutigen, ihre Neugier zu fördern, denn wir können immer mehr junge Katzen in der Politik gebrauchen.",Mit freundlichen Grüßen - #npc_name_coco#
kittensolderspark,.lang,mail\lang\german\kittensolderspark.lang,Cooler Käfer?,"Hallo, #player_name#!","Dein Kind war gestern im Laden und hat sich sehr für meine Käfersammlung interessiert. Jedenfalls habe ich darüber nachgedacht und wollte dir diesen Käfer schicken, damit dein Kind ihn haben kann. Es schien ihn wirklich zu mögen.",Von #npc_name_spark#
kittensolderzephyr,.lang,mail\lang\german\kittensolderzephyr.lang,Ein Stern,"Grüße,","ich hatte neulich das Vergnügen, mit einem deiner Kätzchen zu plaudern. Sie schienen sehr beeindruckt zu sein, mich kennenzulernen! Ich kann es ihnen nicht verübeln, ich bin schließlich tragischerweise berühmt. Ich schicke diesen Brief, damit sie eine Kopie meines Autogramms haben können.",#npc_name_zephyr#
leafspark,.lang,mail\lang\german\leafspark.lang,Schlechtes Blatt,"Oh, hey, #player_name#.","Ein blödes herabfallendes Blatt hat sich in meinem Fell verfangen, genau da, wo ich nicht hinkomme. Ich weiß nicht warum, aber es hat mich an dich denken lassen. Komisch, oder? Wie auch immer, ich hoffe, dein Tag läuft besser als meiner. Komm irgendwann vorbei und wir können Fangen spielen!",Los geht's! – #npc_name_spark#
loveletterfliss,.lang,mail\lang\german\loveletterfliss.lang,Für meine Liebe,"Liebe Katze #player_name#,","seitdem wir uns kennengelernt haben, schlägt mein Herz höher. Wenn ich in deine Augen schaue, kann ich nicht aufhören zu lächeln. Deine Liebe ist für mich so kostbar wie ein funkelnder roter Rubin. Ich vermisse dich!","In Liebe, #npc_name_fliss#!"
lovepoemalabaster,.lang,mail\lang\german\lovepoemalabaster.lang,An meine liebste Katze,#player_name#!,"Eine sanfte Sommerbrise
kann nicht verglichen werden
mit dem, was ich fühle,
wenn du in meiner Nähe bist.",Mit all meiner Liebe - #npc_name_alabaster#
mainstorycompletespared,.lang,mail\lang\german\mainstorycompletespared.lang,Harmonie,#player_name#:,"Du hast in vielen Prüfungen große Entschlossenheit gezeigt. Jetzt, da der Wildwood Champion wiederhergestellt ist, lasst uns alle zusammen an einer leuchtenden Zukunft arbeiten.",Ein Freund
mainstorycompletevanquished,.lang,mail\lang\german\mainstorycompletevanquished.lang,Gerechtigkeit,#player_name#:,"Du hast große Entschlossenheit im Angesicht vieler Prüfungen gezeigt. Jetzt, da der Champion des Wildwood besiegt wurde, lassen Sie uns alle gemeinsam an einer strahlenden Zukunft arbeiten.",Ein Freund
metbob,.lang,mail\lang\german\metbob.lang,Nachbarschaftliche Grüße!,"Hallo, #player_name#!","Es war toll, dich vorhin kennengelernt zu haben. Du scheinst eine tolle Katze zu sein. Lass von dir hören und komm jederzeit vorbei und sag ''Hallo'', wenn du mich draußen siehst. Ich werde versuchen, dasselbe zu tun.","Von deiner Nachbarskatze, Bob"
miningbonus1,.lang,mail\lang\german\miningbonus1.lang,Gute Arbeit.,"#player_name#,","die Aufzeichnungen zeigen, dass du bis auf Ebene 25 der Minen gegraben hast. Großartige Arbeit. Ich habe etwas Maulwurfsgeld angehängt, um unsere Wertschätzung zu zeigen. Leiste jederzeit Hilfe und wir werden dich weiterhin für deine Arbeit belohnen.",Vorarbeiter #npc_name_molo#
miningbonus2,.lang,mail\lang\german\miningbonus2.lang,Bergbau-Bonus,"#player_name#,","meine Arbeiter sagen mir, dass du Ebene 50 in den Minen erreicht hast. Das ist keine kleine Leistung. Nochmals vielen Dank für deine Hilfe. Hier ist ein Bonus für all deine Anstrengungen. Mach weiter so und ich schicke dir noch einen.",Vorarbeiter #npc_name_molo#
miningbonus3,.lang,mail\lang\german\miningbonus3.lang,Noch ein Bonus!,"#player_name#,","ich habe gehört, dass du die Ebene 100 in den Minen erreicht hast! Sehr beeindruckend. Du hast bewiesen, dass du eine fleißige Katze bist, #player_name#. Du bist besser im Graben als ich angenommen hatte. Hier ist ein weiterer Bonus für all deine harte Arbeit. Mach weiter so.",Vorarbeiter #npc_name_molo#
miningintroduction,.lang,mail\lang\german\miningintroduction.lang,Anmeldebonus,"#player_name#,","gute Arbeit heute beim Graben in den Minen. Wir brauchen jede Hilfe, die wir bekommen können. Hier ist ein kleiner Anmeldebonus für deine Mühe. Es gibt mehr davon, wenn du weiter nach unten gräbst.",Vorarbeiter #npc_name_molo#
molbyintroduction,.lang,mail\lang\german\molbyintroduction.lang,Hausrenovierung,"Grüße, #player_name#!","Braucht Ihr mehr Platz in Eurer Höhle? Möchtet Ihr Eure Möbel umstellen? Ich bin Euer Maulwurf! Ihr könnt mich jederzeit aus Eurer Höhle rufen, und ich bin sofort zur Stelle, um Euch zu helfen. Jederzeit, Tag und Nacht, ruft einfach #npc_name_molby# (Das bin ich!), wenn Ihr ein Projekt im Kopf habt!","#npc_name_molby#, Auftragsgräbermaus"
mybirthdaychamp,.lang,mail\lang\german\mybirthdaychamp.lang,Yo! Weißt du was?,"Hey du,","rate mal, welcher Tag heute ist?! Richtig geraten, es ist wieder so weit! Es ist DER Geburtstag der einzig wahren Katze, nämlich mir selbst, #npc_name_champ#. Du solltest schon ein tolles Geschenk ausgesucht haben, denn meine Ansprüche sind höher als je zuvor!",Weiter so. – #npc_name_champ#
mysteriousautumnletteryear1,.lang,mail\lang\german\mysteriousautumnletteryear1.lang,Für #player_name#,"Liebe Katze #player_name#,","ein Stern leuchtet über dir, wo immer du hingehst. Du wirst großartige Dinge in Wildwood erreichen.",Eine befreundete Katze
mysteriousletterkittensfourtydays,.lang,mail\lang\german\mysteriousletterkittensfourtydays.lang,Vierfacher Geburtstag,An #player_name#:,"Es mag schwer zu glauben sein, aber deine Kätzchen sind jetzt ein Jahr alt! Herzlichen Glückwunsch. Sie werden für alle, denen sie begegnen, ein Segen sein. Fahre fort, ihnen die Wege von Wildwood beizubringen.",Eine befreundete Katze
mysteriousletterkittenstendays,.lang,mail\lang\german\mysteriousletterkittenstendays.lang,Deine Kätzchen,An #player_name#:,"Elternschaft ist eine schwierige Aufgabe, aber eine, die du mit Bravour gemeistert hast. Deine Kätzchen lernen und wachsen schnell. Du musst sehr stolz sein. Fahre fort, ihre Leidenschaften zu fördern und sie zu trainieren.",Eine befreundete Katze
mysterioussummerletteryear2,.lang,mail\lang\german\mysterioussummerletteryear2.lang,Für #player_name#,"Liebe Katze #player_name#,","du hast eine große Verantwortung, diejenigen zu schützen, die du liebst. Diejenigen, die eine solche Last tragen, können immer ein wenig Hilfe gebrauchen.",Eine befreundete Katze
mysteriouswinterletteryear3,.lang,mail\lang\german\mysteriouswinterletteryear3.lang,Für #player_name#,"Liebe Katze #player_name#,","du hast viele Jahre lang Wildwood durchstreift. Du hast dich als weise und gerechte Katze in allem, was du getan hast, bewiesen. Eine große Bestimmung liegt in deinen Pfoten.",Eine befreundete Katze
mysteriousyearsendletteryear1,.lang,mail\lang\german\mysteriousyearsendletteryear1.lang,Ein Jahr vorbei,"Liebe Katze #player_name#,","du hast nun ein ganzes Jahr in Wildwood überlebt. Das ist keine kleine Leistung! Wahrlich, du bist eine hartnäckige Katze, um so etwas zu erreichen. Das nächste Jahr wird seine eigenen Herausforderungen bringen, aber du wirst sie alle überwinden.",Eine befreundete Katze
