file,extension,path,lang_mail_subject,lang_mail_content_header,lang_mail_content_body,lang_mail_content_signature
congratskittenstalon,.lang,mail\lang\spanish\congratskittenstalon.lang,Nuestras filas aumentan,#player_name#:,"Los últimos informes señalan que has tenido una camada de crías. Qué bueno, el pueblo necesitará una nueva generación fuerte para reforzar nuestros frentes.",Felicidades. #npc_name_talon#
congratulationsfromalabaster,.lang,mail\lang\spanish\congratulationsfromalabaster.lang,¡Felicidades por la boda!,Estimable #player_name#:,"Permíteme tener la primera oportunidad de felicitar a la pareja recién casada. Sé que serán un matrimonio muy feliz. Cuando pasean, puedo ver en sus rostros que se aman con locura. Adjunto un pequeño regalo para celebrar.","Tu colega, #npc_name_alabaster#"
congratulationsfrombob,.lang,mail\lang\spanish\congratulationsfrombob.lang,¡Felicidades!,Para #player_name#.,¡Por fin te casaste! Felicidades. Sé que sus vidas se verán enriquecidas por el amor que se tienen. Incluí un regalo de bodas en esta carta.,¡Escríbeme! #npc_name_bob#
congratulationsfromgarlic,.lang,mail\lang\spanish\congratulationsfromgarlic.lang,Gracias por la invitación,Hola de nuevo.,"Fue una boda increíble. Gracias por la invitación, la pasé muy bien. Ustedes dos hacen una linda pareja, me alegra que se hayan conocido. Ah, y olvidé darte tu regalo de bodas en la ceremonia, así que aquí está. Perdón por eso.",#npc_name_garlic#
emberredrose,.lang,mail\lang\spanish\emberredrose.lang,Rosa roja,¡Nuevo artículo a la venta!,¡Las rosas rojas ya están disponibles en la tienda! Estas flores románticas son una forma estupenda de expresar tus verdaderos sentimientos. Dale una a ese ser especial con el que te gustaría comenzar a salir. ¡Esperemos que acepte!,¡Buena suerte! -#npc_name_ember#.
embershinytrinket,.lang,mail\lang\spanish\embershinytrinket.lang,Chuchería brillante,¡Nuevo artículo a la venta!,"Acabo de recibir un pedido de chucherías brillantes, hermosos anillos de oro muy apreciados por los amantes. Según la tradición, debes darle uno a tu pareja romántica para proponerle matrimonio.",¡Ya disponible! -#npc_name_ember#.
fanmailzephyr,.lang,mail\lang\spanish\fanmailzephyr.lang,¿Conoces a Zephyr?,"Escuché que conoces a Zephyr, ¿es verdad?","¡Guau, qué supergenial! No puedo creer que realmente hables con Zephyr y todo eso. ¡Qué celos! ¿Cómo es? ¡Cuéntame TODOS los detalles! Espera a que el resto del club se entere. ¡Van a enloquecer!",-Presidente del club de fans de Zephyr
fanmailzephyrdating,.lang,mail\lang\spanish\fanmailzephyrdating.lang,¡NoooOOooOOo!,¿¿Es broma??,"¿¿Estás saliendo con Zephyr?? ¡NooOOO! ¡El universo es tan INJUSTO! O sea, se supone era MI destino estar con Zephyr. Tengo todos sus productos, hasta las revistas. ¡¡Uf, esto es horrible!! Me da tanta RABIA",Un corazón roto (espero que estés feliz)
festivaltoday,.lang,mail\lang\spanish\festivaltoday.lang,¡Festival hoy!,"¡Muy buenos días, #player_name#!","¡Hoy es el festival de primavera! Espero que nos acompañes en la Plaza del Festival, al norte del pueblo, para disfrutar de la fiesta. ¡Habrá juegos y premios! Adjunto a esta carta algunas fichas de festival de cortesía. ¡Nos vemos allí!",-#npc_name_coco#
gardeningintroalabaster,.lang,mail\lang\spanish\gardeningintroalabaster.lang,Jardinería,"¡Hola, #player_name#!",Disfruté la oportunidad de conocerte. Quiero obsequiarte unas semillas para que pruebes cultivar en el huerto. Puede ser bastante divertido (¡y gratificante!) Háblame si tienes alguna pregunta. Estaré más que feliz de ayudarte.,"Un respetuoso saludo, #npc_name_alabaster#"
glimmerdonated15curios,.lang,mail\lang\spanish\glimmerdonated15curios.lang,Una verdadera exhibición,#player_name#...,"¡Ajá! El museo finalmente está tomando forma, en gran parte gracias a tus esfuerzos. Has donado 15 objetos curiosos. ¡Bien hecho!","~#npc_name_glimmer#, responsable del museo"
glimmerdonated1curio,.lang,mail\lang\spanish\glimmerdonated1curio.lang,Tu donación,#player_name#...,"¡Gracias por donar una curiosidad! El museo siempre acepta más objetos de interés para exhibir. Si encuentras otros, por favor tráemelos. Adjunto una pequeña muestra de mi gratitud.","~#npc_name_glimmer#, responsable del museo"
glimmerdonated25curios,.lang,mail\lang\spanish\glimmerdonated25curios.lang,Cerca de finalizar,#player_name#...,¡Ya hay 25 curiosidades que se exhiben con orgullo en la galería del museo! Solo quedan 5 por descubrir. Estoy guardando una generosa recompensa que te daré si logras encontrar las últimas y donarlas...,"~#npc_name_glimmer#, responsable del museo"
glimmerdonated30curios,.lang,mail\lang\spanish\glimmerdonated30curios.lang,¡Galería completada!,#player_name#...,"Una vez más, gracias por tus generosas donaciones. Ahora las 30 curiosidades se exhiben con orgullo en la galería del museo. Visítanos cuando quieras para verlas en exposición.","~#npc_name_glimmer#, responsable del museo"
glimmerdonated5curios,.lang,mail\lang\spanish\glimmerdonated5curios.lang,El deseo de donar,#player_name#...,"¡Por las estrellas! Si no me equivoco, has donado 5 curiosidades al museo. Apreciamos tu apoyo constante a las instituciones locales. No te olvides del museo si descubres más curiosidades.","~#npc_name_glimmer#, responsable del museo"
glimmermuseumintro,.lang,mail\lang\spanish\glimmermuseumintro.lang,Museo,#player_name#...,"¡Soy yo, #npc_name_glimmer#, especialista en museología! El museo ya se encuentra abierto al público. Si encuentras alguna curiosidad, por favor tráela a la mesa para identificarla. ¡Considera donar tus curiosidades para ayudar al museo!",¡La curiosidad lo es todo! ~#npc_name_glimmer#
greatfriendalabaster,.lang,mail\lang\spanish\greatfriendalabaster.lang,Del jardín,"¡Hola, #player_name#!","Pasé la tarde plantando hierbas, y al final del día me sobraron algunas semillas. ¡Fue entonces cuando pensé en ti! ¿Te sirven? De cualquier manera, ahora son tuyas.","Atentamente, #npc_name_alabaster#"
greatfriendelli,.lang,mail\lang\spanish\greatfriendelli.lang,"¡Hola, compinche!","¡Hola, #player_name#!","Cuando me desperté esta mañana, no podía dejar de pensar en todo lo que has hecho por mí. Eres increíble, y me hace feliz considerarte una de mis amistades. Espero que nuestra relación siga así por mucho tiempo.","Tu compinche, #npc_name_elli#"
greatfriendember,.lang,mail\lang\spanish\greatfriendember.lang,"¡Hola, colega!",¿Cómo estás?,"Solo quería decirte que eres espectacular. Siempre eres amable, y alegras mi día cada vez que te veo pasar. Tienes una forma única de hacer que todo el mundo se sienta especial cuando le hablas. Es admirable.","Con cariño, #npc_name_ember#"
greatfriendjag,.lang,mail\lang\spanish\greatfriendjag.lang,"Gracias, #player_name#.","#player_name#,","Estuve pensando si escribir esta carta o no por un tiempo, pero necesito decírtelo. Gracias por tomarte el tiempo para conocerme. Sé que puedo parecer descortés, pero tú viste más allá de eso y me has tratado mejor que cualquiera.",¡Te aprecio! -#npc_name_jag#
greatfriendphantom,.lang,mail\lang\spanish\greatfriendphantom.lang,"¡Hola, compa!",¿Cómo va todo?,Te escribo para decirte lo mucho que valoro tu amistad. Has sido muy amable conmigo. Desearía que todos los gatos del mundo fueran como tú.,"¡Tu colega, #npc_name_phantom#!"
happybirthdayfromalabaster,.lang,mail\lang\spanish\happybirthdayfromalabaster.lang,Deseos de cumpleaños,Estimable #player_name#:,"Hoy es tu cumpleaños, ¿no es así? Espero que tengas un excelente día lleno de esparcimiento y buena compañía. Mis mejores deseos para ti en esta celebración.","Saludos cordiales, #npc_name_alabaster#"
happybirthdayfrombob,.lang,mail\lang\spanish\happybirthdayfrombob.lang,¡Hoy es tu día!,"¡Hola, #player_name#!","En tu cumpleaños, todo se ve más alegre de lo habitual. ¡No hay nada de malo en tomarse el día para celebrar con alguien tan increíble como tú!","Tu amistad que vive al lado, #npc_name_bob#"
happybirthdayfrombuttercup,.lang,mail\lang\spanish\happybirthdayfrombuttercup.lang,Día especial,Hola.,"¿Es tu cumpleaños? Espero que esta carta haya llegado en el día correcto. Traté de calcular el tiempo y creo que le acerté, pero nunca se sabe. Me da ansiedad. En fin, espero que tengas un lindo cumpleaños, aunque recibas esto cuando sea.",De #npc_name_buttercup#
happybirthdayfromcharlotte,.lang,mail\lang\spanish\happybirthdayfromcharlotte.lang,Tarjeta de cumpleaños,Hola.,"Escuché el rumor de que hoy es tu cumpleaños. Si eso es cierto, espero que sea uno bueno. Alguien tan especial como tú merece tener su propio día de vez en cuando.",De #npc_name_charlotte#
happybirthdayfromelli,.lang,mail\lang\spanish\happybirthdayfromelli.lang,¡Tu cumpleaños!,"¡Hola, #player_name#!","¡Es tu cumpleaños! Seguramente ya lo sabías. Avísame cuando sirvas el pastel, iré para allá en seguida. Ja, ja, ¡es broma! Pero en serio, te deseo el más feliz de los cumpleaños.",¡Que la pases bien! -#npc_name_elli#
happybirthdayfromember,.lang,mail\lang\spanish\happybirthdayfromember.lang,¡Es tu cumpleaños!,"¡Hola, #player_name#!","¿Es cierto que hoy es tu cumpleaños? Sé que es un poco anticuado, pero pensé en enviarte una bonita tarjeta para desearte lo mejor. Bueno, nos vemos luego.","Con cariño, #npc_name_ember#"
happybirthdayfromgarlic,.lang,mail\lang\spanish\happybirthdayfromgarlic.lang,Hoy es el día,Hola.,"Olvidé lo que iba a escribir. Algo sobre tu cumpleaños. Lo tenía planeado y todo, pero cuando me senté a escribir, mi cerebro se quedó en blanco. Feliz cumpleaños, supongo.",-#npc_name_garlic#
happybirthdayfromglimmer,.lang,mail\lang\spanish\happybirthdayfromglimmer.lang,Un día afortunado,Apreciable #player_name#:,"En tu cumpleaños, que las estrellas te concedan un gran poder para lograr lo que deseas. ¡Será una bendición para todas las criaturas!",~#npc_name_glimmer#
happybirthdayfromjag,.lang,mail\lang\spanish\happybirthdayfromjag.lang,Cumpleaños de #player_name#,Hola.,Es tu cumpleaños. Me imagino que eso te trae felicidad y dicha. Avísame si hay algo que pueda hacer por ti hoy.,"Saludos cordiales, #npc_name_jag#"
happybirthdayfromkrampy,.lang,mail\lang\spanish\happybirthdayfromkrampy.lang,¡Euforia!,"A mi mejor camarada,","¡Me alegra mucho poder desearte un feliz cumpleaños, #player_name#! Que tu próximo año sea tan grandioso como el anterior. Y si el anterior no fue tan bueno, que tu próximo año sea aún mejor.","Se despide, #npc_name_krampy#"
happybirthdayfromlainey,.lang,mail\lang\spanish\happybirthdayfromlainey.lang,Mejores deseos,#player_name#:,"No sabía qué regalarte para tu cumpleaños, así que simplemente te envié una tarjeta. ¿Te gusta? Ojalá pueda pensar en algo. Te avisaré la próxima vez que te vea si se me ocurrió.",¡Te deseo lo mejor! -#npc_name_lainey#
happybirthdayfromphantom,.lang,mail\lang\spanish\happybirthdayfromphantom.lang,¡Hora de la fiesta!,"Hola, #player_name#,","¿Tienes planes para hoy? Es tu cumpleaños, así que supongo que harás muchas cosas. Si tienes tiempo, pásate por aquí, tengo un regalo esperándote.",¡No hay prisa! De parte de #npc_name_phantom#
happynewyear2,.lang,mail\lang\spanish\happynewyear2.lang,¡Feliz Año Nuevo!,"¡Feliz Año Nuevo, #player_name#!","Por fin superamos el crudo invierno, ¡y llegamos a un año nuevo lleno de esperanza Hagamos que este valga la pena, #player_name#. Todavía hay mucho por hacer para que nuestro hogar en Wildwood sea un lugar aún mejor.","Saludos cordiales, #npc_name_coco#"
happynewyear3,.lang,mail\lang\spanish\happynewyear3.lang,¡Ya llegó la primavera!,"¡Feliz Año Nuevo, #player_name#!",¡La nieve se ha derretido y la primavera ha vuelto! Un nuevo año se extiende ante nuestros ojos. ¿Qué planes tienes para hacer que este sea grandioso? Yo escribí algunos propósitos personales para mejorar en los próximos meses.,"Saludos cordiales, #npc_name_coco#"
happynewyear4,.lang,mail\lang\spanish\happynewyear4.lang,¡Año 4!,"¡Feliz Año Nuevo, #player_name#!","Tras un duro invierno, el sol ha salido a jugar, y todos los gatos se alegran de su regreso. He visto muchas presas por el bosque. Es hora de abastecerse y reponer las provisiones que se agotaron durante los largos meses nevados. Haz que sea un gran año, #player_name#.","Saludos cordiales, #npc_name_coco#"
happynewyear5,.lang,mail\lang\spanish\happynewyear5.lang,¡Otro año ha llegado!,"¡Feliz Año Nuevo, #player_name#!",Agradezcamos que hemos recibido otro año para vivir en comunidad. Wildwood luce mejor que nunca. ¡Brindemos por un año increíble!,"Saludos cordiales, #npc_name_coco#"
hateletterfromchamp,.lang,mail\lang\spanish\hateletterfromchamp.lang,¿Qué te pasa?,#player_name#.,"No sé qué te sucede, pero si tienes un problema conmigo, entonces yo tengo un problema contigo. Créeme, no querrás hacerme enojar. ¡Será mejor que lo soluciones y dejes de ser tan egoísta!",#npc_name_champ#
hateletterfromcharlotte,.lang,mail\lang\spanish\hateletterfromcharlotte.lang,Aléjate.,#player_name#.,"Si no me dejas en paz, te haré la vida imposible. ¿Entendido? Grábatelo en la cabeza. Que tengas un día horrible.","Tu enemistad, #npc_name_charlotte#"
invitationbob,.lang,mail\lang\spanish\invitationbob.lang,"¡Hola, tú!","Hola, #player_name#:","Si alguna vez sientes que necesitas compañía, no dudes en venir a mi casa a charlar un rato. Voy a dejar la puerta abierta para ti. Pásate cuando quieras.","#npc_name_bob#, que vive al lado"
invitationfliss,.lang,mail\lang\spanish\invitationfliss.lang,¿Quieres venir?,"Hola,","Sé que tienes muchas cosas que hacer, pero quería invitarte a pasar el rato en mi casa cuando estés libre. A #npc_name_lainey# no le importará que vengan visitas. Trataré de ordenar un poco el lugar primero.",#npc_name_fliss#
invitationspark,.lang,mail\lang\spanish\invitationspark.lang,¿Quieres jugar?,"¡Oye, #player_name#!","¿Quieres venir a ver mi colección de insectos? Podemos jugar a algún juego de mesa, o tal vez a las atrapadas. Tendremos que mantener la voz baja, o si no, #npc_name_ember# se enojará. Pero deberías venir pronto.",-#npc_name_spark#
justbecausespark,.lang,mail\lang\spanish\justbecausespark.lang,¡Solo porque sí!,"¡Hola hola, #player_name#!","¡Tengo un regalo para ti! Espero que te guste. No es por nada en particular, pero pensé que te serviría. ¡Disfrútalo!","Con amor, #npc_name_spark#"
kittendrawing,.lang,mail\lang\spanish\kittendrawing.lang,mi arte,hice esto para ti,(#player_name# y yo),"con amor, #npc_name_kittentwo#"
kittensolderalabaster,.lang,mail\lang\spanish\kittensolderalabaster.lang,Objetos perdidos,"¡Buenos días, #player_name#!","Creo que una de tus crías estuvo jugando en el jardín ayer. Se le debe haber caído esta piedra. Sé con seguridad que estaría inconsolable si la perdiera, así que la adjunté en este paquete.","Atentamente te saluda, #npc_name_alabaster#"
kittensoldercoco,.lang,mail\lang\spanish\kittensoldercoco.lang,Crías curiosas,"¡Hola, #player_name#!","La otra noche, mientras paseaba, tus peques se acercaron a mí y me llenaron de preguntas sobre mi trabajo. ¡Parece que tienen bastante interés por el régimen local! Sería bueno que fomentaras su curiosidad, nos vendrían bien más jóvenes en la política.","Saludos, #npc_name_coco#"
kittensolderspark,.lang,mail\lang\spanish\kittensolderspark.lang,¿Un escarabajo genial?,"¡Oye, #player_name#!","Tu cría vino ayer a la tienda y se interesó mucho en mi colección de insectos. Bueno, lo pensé y decidí enviar este escarabajo para regalárselo. Parece que realmente le gustó.",De #npc_name_spark#
kittensolderzephyr,.lang,mail\lang\spanish\kittensolderzephyr.lang,Una estrella,Saludos.,"El otro día tuve el placer de conversar con una de tus crías. ¡Vaya sorpresa que se llevó al conocerme! ¿Qué puedo decir? Después de todo, soy increíblemente célebre. Le envío esta carta para que tenga una copia de mi autógrafo.",~ #npc_name_zephyr#
leafspark,.lang,mail\lang\spanish\leafspark.lang,Hoja mala,"Hola, #player_name#.","Una estúpida hoja de árbol se atascó en mi pelaje, justo donde no puedo alcanzarla. No sé por qué, pero me hizo pensar en ti. Raro, ¿verdad? Como sea, espero que tu día esté yendo mejor que el mío. ¡Pásate por aquí alguna vez para jugar a las atrapadas!",¡Te espero! -#npc_name_spark#
loveletterfliss,.lang,mail\lang\spanish\loveletterfliss.lang,Para mi amor,Dulce #player_name#:,"Desde que nos conocimos, mi corazón ha estado agitado. Cuando te miro a los ojos, no puedo evitar sonreír. Tu amor es tan precioso para mí como un deslumbrante rubí rojo. ¡Te extraño!","Con amor, #npc_name_fliss#"
lovepoemalabaster,.lang,mail\lang\spanish\lovepoemalabaster.lang,Para la luz de mis ojos,"#player_name#,","Una suave brisa de verano
No se puede comparar
Con lo que siento
Cuando estás cerca","Con todo mi amor, #npc_name_alabaster#"
mainstorycompletespared,.lang,mail\lang\spanish\mainstorycompletespared.lang,Armonía,#player_name#:,"Demostraste una gran determinación frente a numerosas pruebas. Ahora que Defensor de Wildwood se ha rehabilitado, trabajemos en unión por un futuro brillante.",Una amistad
mainstorycompletevanquished,.lang,mail\lang\spanish\mainstorycompletevanquished.lang,Justicia,#player_name#:,"Demostraste una gran determinación frente a numerosas pruebas. Ahora que Defensor de Wildwood ha sido derrotado, trabajemos en unión por un futuro brillante.",Una amistad
metbob,.lang,mail\lang\spanish\metbob.lang,¡Saludos vecinales!,"Hola, #player_name#.","Fue genial conocerte. Me pareces fenomenal. No lo olvides, ven a saludarme cada vez que me veas por ahí. Yo trataré de hacer lo mismo.",Nos vemos. #npc_name_bob#
miningbonus1,.lang,mail\lang\spanish\miningbonus1.lang,Buen trabajo.,#player_name#:,Los registros indican que has excavado hasta el nivel 25 de las minas. Excelente trabajo. Incluyo algunas topomonedas como muestra de nuestro agradecimiento. Échanos una pata siempre que puedas y seguiremos recompensándote por tu esfuerzo.,Capataz #npc_name_molo#
miningbonus2,.lang,mail\lang\spanish\miningbonus2.lang,Bonificación de minería,"#player_name#,",Mis trabajadores me dicen que has alcanzado el nivel 50 en las minas. Es una verdadera hazaña. Gracias de nuevo por tu ayuda. Aquí tienes una recompensa por todo tu esfuerzo. Sigue así y te enviaré otra.,Capataz #npc_name_molo#
miningbonus3,.lang,mail\lang\spanish\miningbonus3.lang,¡Otra bonificación!,"#player_name#,","Escuché que llegaste al nivel 100 en las minas. Muy impresionante. Has demostrado ser diligente, #player_name#. Eres mejor excavando de lo que había pensado. Aquí tienes otra recompensa por tu arduo trabajo. Sigue así.",Capataz #npc_name_molo#
miningintroduction,.lang,mail\lang\spanish\miningintroduction.lang,Bonificación de inicio,"#player_name#,",Buen trabajo hoy excavando en las minas. Necesitamos toda la ayuda posible. Aquí tienes una pequeña recompensa por las molestias. Te daré más si sigues cavando.,Capataz #npc_name_molo#
molbyintroduction,.lang,mail\lang\spanish\molbyintroduction.lang,Remodelación del hogar,"¡Saludos, #player_name#!","¿Necesitas más espacio en tu guarida? ¿Quieres mover tus muebles? ¡Entonces soy tu topo! Llámame en cualquier momento desde el interior de tu guarida, y estaré ahí para ayudarte. Ya sea de día o de noche, avísale a #npc_name_molby# (¡o sea, yo!) si tienes algún proyecto en mente.","#npc_name_molby#, topo contratista"
mybirthdaychamp,.lang,mail\lang\spanish\mybirthdaychamp.lang,¡Oye! ¿Adivina qué?,"Oye, tú.","Adivina qué día es hoy. ¡Sí, es esa época del año otra vez! Es el CUMPLEAÑOS de #npc_name_champ#, o sea, yo, inigualable e incomparable. Más te vale que hayas elegido un regalo fabuloso, ¡porque mi nivel de exigencia está más alto que nunca!",Sigue así. -#npc_name_champ#
mysteriousautumnletteryear1,.lang,mail\lang\spanish\mysteriousautumnletteryear1.lang,Para #player_name#,Apreciable #player_name#:,Una estrella brilla sobre ti dondequiera que vayas. Lograrás grandes cosas en Wildwood.,Una amistad
mysteriousletterkittensfourtydays,.lang,mail\lang\spanish\mysteriousletterkittensfourtydays.lang,Cumpleaños cuádruple,Para #player_name#:,"¡Es difícil de creer, pero tus crías ya tienen un año de edad! Felicidades. Serán una bendición para todos aquellos que conozcan. Continúa enseñándoles los valores de Wilwood.",Una amistad
mysteriousletterkittenstendays,.lang,mail\lang\spanish\mysteriousletterkittenstendays.lang,Tus crías,Para #player_name#:,"La crianza es una tarea difícil, pero a la que te has adaptado de forma admirable. Tus crías aprenden y crecen con rapidez. Debes de sentir mucho orgullo. Continúa fomentando sus pasiones y entrenándolas.",Una amistad
mysterioussummerletteryear2,.lang,mail\lang\spanish\mysterioussummerletteryear2.lang,Para #player_name#,Responsable #player_name#:,Tienes la gran responsabilidad de proteger a tus seres queridos. Aquellos que cargan con tal peso siempre precisan un poco de ayuda.,Una amistad
mysteriouswinterletteryear3,.lang,mail\lang\spanish\mysteriouswinterletteryear3.lang,Para #player_name#,Solemne #player_name#:,Has recorrido Wildwood por muchos años. Demostraste ser prudente y ecuánime en todas tus acciones. Un gran destino yace en tus patas.,Una amistad
mysteriousyearsendletteryear1,.lang,mail\lang\spanish\mysteriousyearsendletteryear1.lang,Un año cumplido,Estimable #player_name#:,"Sobreviviste un año completo en Wildwood. ¡No es poca cosa! Realmente eres bien tenaz para lograr algo así. El próximo año traerá sus propios desafíos, pero los superarás todos.",Una amistad
mysteriousyearsendletteryear2,.lang,mail\lang\spanish\mysteriousyearsendletteryear2.lang,Dos años cumplidos,Venerable #player_name#:,Ya pasaron dos años desde que te mudaste a Wildwood. Ahora eres más fuerte que nunca. Confía en tu corazón en este año que viene. No te defraudará.,Una amistad
mysteriousyearsendletteryear3,.lang,mail\lang\spanish\mysteriousyearsendletteryear3.lang,Tres años cumplidos,Excepcional #player_name#:,"Mientras completas el tercer año de tu vida en Wildwood, tómate un momento para reflexionar sobre todas las amistades que te han ayudado en el camino. Somos más fuertes cuando formamos parte de una comunidad.",Una amistad
mysteriousyearsendletteryear4,.lang,mail\lang\spanish\mysteriousyearsendletteryear4.lang,Cuatro años cumplidos,Admirable #player_name#:,Se necesita un liderazgo fuerte para sobrevivir tanto tiempo en un entorno tan hostil como Wildwood. Tu pueblo prospera gracias a tu sabiduría. Trata bien a tu comunidad y seguirá creciendo.,Una amistad
mysteriousyearsendletteryear5,.lang,mail\lang\spanish\mysteriousyearsendletteryear5.lang,Cinco años cumplidos,Respetable #player_name#:,"¡Cinco años! Tantos recuerdos en Wildwood. Excelente trabajo, #player_name#. Al iniciar el nuevo año, recuerda todo el esfuerzo que te llevó llegar hasta aquí.",Una amistad
newinventoryember1,.lang,mail\lang\spanish\newinventoryember1.lang,¡Nuevos objetos!,"¿Cómo estás, #player_name#?","¡Feliz año nuevo! Acabo de recibir un pedido de artículos nuevos que estaré vendiendo en la tienda. Pásate cuando quieras, con gusto te mostraré lo que hay.",De #npc_name_ember#
newinventoryember2,.lang,mail\lang\spanish\newinventoryember2.lang,¡Nuevo pedido!,"¿Cómo estás, #player_name#?",¡Ha llegado otro pedido! Estoy arreglando las estanterías ahora mismo. Pásate en algún momento para ver todas las cosas nuevas que tengo a la venta.,De #npc_name_ember#
newnameelli,.lang,mail\lang\spanish\newnameelli.lang,¿Nombre nuevo?,"¡Buen día, #player_name#!","¿Te gusta tu nuevo nombre?

#player_name#... ¡Suena encantador! Te queda muy bien.",¡De #npc_name_elli#!
niceweatherchamp,.lang,mail\lang\spanish\niceweatherchamp.lang,Hace buen tiempo,¿Qué hay de nuevo?,"Más te vale que no te pongas a holgazanear solo porque hace calor. Es el mejor momento para tonificar tus músculos, cuando todo el mundo anda con flojera. ¡Menos competencia equivale a resultados más notables!",¡A trabajar! -#npc_name_champ#
reportborderstalon,.lang,mail\lang\spanish\reportborderstalon.lang,Informe: Fronteras,#player_name#:,"Hay mucha actividad en Wildwood. Se avistaron peligrosas Sombras Felinas demasiado cerca del pueblo para mi gusto. Por el momento, he lidiado con la amenaza, pero hay que mantenerse alerta. Adjunto pruebas de mi trabajo.","Atentamente, #npc_name_talon#"
reportpreytalon,.lang,mail\lang\spanish\reportpreytalon.lang,Informe: Presas,#player_name#:,"Me satisface informar que hay una abundancia de presas en Wildwood. En mis viajes, me he encontrado con varias criaturas deliciosas. Adjunto una muestra a este informe.","Respetuosamente, #npc_name_talon#"
rivalmarriagecompletealabasterandfliss,.lang,mail\lang\spanish\rivalmarriagecompletealabasterandfliss.lang,Una tarjeta de agradecimiento,"Hola, #player_name#",Te escribo para agradecerte por la amistad que nos has brindado a mí y a #npc_name_alabaster#. Sé que seremos muy felices como pareja. Incluyo en esta carta una pequeña muestra de mi gratitud.,"Sinceramente, #npc_name_fliss#"
rivalmarriagecompletebobandbuttercup,.lang,mail\lang\spanish\rivalmarriagecompletebobandbuttercup.lang,Agradecimiento,"Hola, #player_name#.","Después de nuestra ceremonia nupcial, sentí una enorme gratitud por todas las increíbles amistades que tengo en mi vida. Y tú eres una de las mejores. #npc_name_bob# y yo te agradecemos por todo lo que has hecho, #player_name#.",Gracias por todo. -#npc_name_buttercup#
